name,index
left_habenula_nucleus,1060
right_habenula_nucleus,2060
left_supraoptic_nucleus,1143
right_supraoptic_nucleus,2143
left_cochlear_nucleus,1159
right_cochlear_nucleus,2159
left_primary_somatosensory_ctx_jaw,1133
right_primary_somatosensory_ctx_jaw,2133
left_accumbens_shell,1017
right_accumbens_shell,2017
left_medial_cerebellar_nucleus_fastigial,1084
right_medial_cerebellar_nucleus_fastigial,2084
left_caudal_piriform_ctx,1102
right_caudal_piriform_ctx,2102
left_principal_sensory_nucleus_trigeminal,1112
right_principal_sensory_nucleus_trigeminal,2112
left_CA3_hippocampus_ventral,1029
right_CA3_hippocampus_ventral,2029
left_flocculus_cerebellum,1054
right_flocculus_cerebellum,2054
left_parafascicular_thalamic_nucleus,1098
right_parafascicular_thalamic_nucleus,2098
left_inferior_colliculus,1062
right_inferior_colliculus,2062
left_lateral_amygdaloid_nucleus,1068
right_lateral_amygdaloid_nucleus,2068
left_reticular_nucleus,1127
right_reticular_nucleus,2127
left_primary_somatosensory_ctx_hindlimb,1132
right_primary_somatosensory_ctx_hindlimb,2132
left_arcuate_nucleus,1022
right_arcuate_nucleus,2022
left_rostral_piriform_ctx,1103
right_rostral_piriform_ctx,2103
left_7th_cerebellar_lobule,1010
right_7th_cerebellar_lobule,2010
left_ventral_medial_nucleus,1164
right_ventral_medial_nucleus,2164
left_solitary_tract_nucleus,1144
right_solitary_tract_nucleus,2144
left_ventrolateral_thalamic_nucleus,1161
right_ventrolateral_thalamic_nucleus,2161
left_6th_cerebellar_lobule,1009
right_6th_cerebellar_lobule,2009
left_anterior_hypothalamic_area,1018
right_anterior_hypothalamic_area,2018
left_suprachiasmatic_nucleus,1138
right_suprachiasmatic_nucleus,2138
left_diagonal_band_of_Broca,1039
right_diagonal_band_of_Broca,2039
left_endopiriform_nucleus,1051
right_endopiriform_nucleus,2051
left_1st_cerebellar_lobule,1002
right_1st_cerebellar_lobule,2002
left_anterior_cingulate_area,1031
right_anterior_cingulate_area,2031
left_primary_somatosensory_ctx_forelimb,1131
right_primary_somatosensory_ctx_forelimb,2131
left_pontine_reticular_nucleus_caudal,1107
right_pontine_reticular_nucleus_caudal,2107
left_prelimbic_ctx,1115
right_prelimbic_ctx,2115
left_dentate_gyrus_ventral,1041
right_dentate_gyrus_ventral,2041
left_root_of_trigeminal_nerve,1008
right_root_of_trigeminal_nerve,2008
left_parabrachial_nucleus,1096
right_parabrachial_nucleus,2096
left_substantia_nigra_reticularis,1142
right_substantia_nigra_reticularis,2142
left_reticular_nucleus_midbrain,1128
right_reticular_nucleus_midbrain,2128
left_neural_lobe_pituitary,1092
right_neural_lobe_pituitary,2092
left_temporal_ctx,1150
right_temporal_ctx,2150
left_ventral_subiculum,1170
right_ventral_subiculum,2170
left_visual_1_ctx,1156
right_visual_1_ctx,2156
left_ventral_lateral_striatum,1162
right_ventral_lateral_striatum,2162
left_copula_of_the_pyramis,1036
right_copula_of_the_pyramis,2036
left_triangular_septal_nucleus,1151
right_triangular_septal_nucleus,2151
left_intercalated_amygdaloid_nucleus,1061
right_intercalated_amygdaloid_nucleus,2061
left_inferior_olivary_complex,1066
right_inferior_olivary_complex,2066
left_insular_ctx,1064
right_insular_ctx,2064
left_ectorhinal_ctx,1050
right_ectorhinal_ctx,2050
left_medial_preoptic_area,1089
right_medial_preoptic_area,2089
left_external_plexiform_layer,1053
right_external_plexiform_layer,2053
left_4th_cerebellar_lobule,1005
right_4th_cerebellar_lobule,2005
left_tenia_tecta_ctx,1152
right_tenia_tecta_ctx,2152
left_anterior_pretectal_nucleus,1021
right_anterior_pretectal_nucleus,2021
left_paraventricular_nuclus,1094
right_paraventricular_nuclus,2094
left_2nd_cerebellar_lobule,1003
right_2nd_cerebellar_lobule,2003
left_secondary_motor_ctx,1080
right_secondary_motor_ctx,2080
left_dorsal_medial_nucleus,1043
right_dorsal_medial_nucleus,2043
left_5th_cerebellar_lobule,1006
right_5th_cerebellar_lobule,2006
left_retrosplenial_rostral_ctx,1126
right_retrosplenial_rostral_ctx,2126
left_ventromedial_thalamic_nucleus,1163
right_ventromedial_thalamic_nucleus,2163
left_ventral_medial_striatum,1165
right_ventral_medial_striatum,2165
left_bed_nucleus_stria_terminalis,1145
right_bed_nucleus_stria_terminalis,2145
left_lateral_orbital_ctx,1075
right_lateral_orbital_ctx,2075
left_interpeduncular_nucleus,1067
right_interpeduncular_nucleus,2067
left_primary_somatosensory_ctx_upper_lip,1136
right_primary_somatosensory_ctx_upper_lip,2136
left_subiculum_dorsal,1048
right_subiculum_dorsal,2048
left_medial_geniculate,1085
right_medial_geniculate,2085
left_central_gray,1032
right_central_gray,2032
left_magnocellular_preoptic_nucleus,1081
right_magnocellular_preoptic_nucleus,2081
left_raphe_magnus,1122
right_raphe_magnus,2122
left_paramedian_lobule,1105
right_paramedian_lobule,2105
