bundle_name,bundle_index,label,along_name,along_index
ac,1,1,ac_001,1
ac,1,2,ac_002,2
ac,1,3,ac_003,3
ac,1,4,ac_004,4
ac,1,5,ac_005,5
ac,1,6,ac_006,6
ac,1,7,ac_007,7
ac,1,8,ac_008,8
ac,1,9,ac_009,9
ac,1,10,ac_010,10
ac,1,11,ac_011,11
ac,1,12,ac_012,12
ac,1,13,ac_013,13
ac,1,14,ac_014,14
ac,1,15,ac_015,15
ac,1,16,ac_016,16
ac,1,17,ac_017,17
ac,1,18,ac_018,18
ac,1,19,ac_019,19
ac,1,20,ac_020,20
chip_left,2,1,chip_left_001,21
chip_left,2,2,chip_left_002,22
chip_left,2,3,chip_left_003,23
chip_left,2,4,chip_left_004,24
chip_left,2,5,chip_left_005,25
chip_left,2,6,chip_left_006,26
chip_left,2,7,chip_left_007,27
chip_left,2,8,chip_left_008,28
chip_left,2,9,chip_left_009,29
chip_left,2,10,chip_left_010,30
chip_left,2,11,chip_left_011,31
chip_left,2,12,chip_left_012,32
chip_left,2,13,chip_left_013,33
chip_right,3,1,chip_right_001,34
chip_right,3,2,chip_right_002,35
chip_right,3,3,chip_right_003,36
chip_right,3,4,chip_right_004,37
chip_right,3,5,chip_right_005,38
chip_right,3,6,chip_right_006,39
chip_right,3,7,chip_right_007,40
chip_right,3,8,chip_right_008,41
chip_right,3,9,chip_right_009,42
chip_right,3,10,chip_right_010,43
chip_right,3,11,chip_right_011,44
chip_right,3,12,chip_right_012,45
chip_right,3,13,chip_right_013,46
cing_left,4,1,cing_left_001,47
cing_left,4,2,cing_left_002,48
cing_left,4,3,cing_left_003,49
cing_left,4,4,cing_left_004,50
cing_left,4,5,cing_left_005,51
cing_left,4,6,cing_left_006,52
cing_left,4,7,cing_left_007,53
cing_left,4,8,cing_left_008,54
cing_left,4,9,cing_left_009,55
cing_left,4,10,cing_left_010,56
cing_left,4,11,cing_left_011,57
cing_left,4,12,cing_left_012,58
cing_left,4,13,cing_left_013,59
cing_left,4,14,cing_left_014,60
cing_left,4,15,cing_left_015,61
cing_left,4,16,cing_left_016,62
cing_left,4,17,cing_left_017,63
cing_left,4,18,cing_left_018,64
cing_right,5,1,cing_right_001,65
cing_right,5,2,cing_right_002,66
cing_right,5,3,cing_right_003,67
cing_right,5,4,cing_right_004,68
cing_right,5,5,cing_right_005,69
cing_right,5,6,cing_right_006,70
cing_right,5,7,cing_right_007,71
cing_right,5,8,cing_right_008,72
