site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_013,21,8,27,0.0140274030296956,-0.022490100561797,0.244830328770371,0.395027307401092,0.619780770046314,0.540597823337056
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_012,21,8,27,0.0635261651867147,0.028841949082519,0.53276402762351,0.393662925342046,1.35335078140925,0.18716649440201
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_011,21,8,27,0.0697737072488971,0.0353208815914489,0.568239243709557,0.39929856324666,1.42309363472099,0.166161825889845
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_010,21,8,27,0.122343357510858,0.089837555937186,0.782424650983215,0.403304221016233,1.94003585931158,0.0628866895201956
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,hc_019,21,8,27,0.086242698565956,0.0523998355498804,-0.627395264498627,0.393019062871002,-1.59634817689378,0.122050681783637
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,hc_018,21,8,27,0.0726367055398504,0.0382899168561411,-0.610455889972724,0.419777627081655,-1.45423636370687,0.157407782703434
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,hc_017,21,8,27,0.0402975351774332,0.00475299944326424,-0.456113695952003,0.428371229384629,-1.06476267467175,0.296413244196036
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,hc_016,21,8,27,0.0203774638040146,-0.0159048523513923,-0.2957012143025,0.394571347003161,-0.749423942078922,0.460081936473808
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,hc_015,21,8,27,0.0229103747212324,-0.0132781299187219,-0.28209274128565,0.354536647599985,-0.795665957793815,0.433166119162272
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,chip_left_008,21,8,27,2.52698325632054e-05,-0.0370108312847492,-0.010994267989163,0.420898877243573,-0.0261209249622224,0.979352994538629
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,chip_left_007,21,8,27,0.00655152205427089,-0.0302428660177931,0.164365310836979,0.389520082936121,0.421968771412318,0.676388857581215
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,chip_left_006,21,8,27,0.0374969544692163,0.00184869352363182,0.430818237517214,0.42006379931154,1.02560191624058,0.31418060890459
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_019,21,8,27,0.0657937291323508,0.0311934968779934,-0.549961954060891,0.3988227301277,-1.378963415362,0.179223507367501
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,chip_left_005,21,8,27,0.0355643372662493,-0.000155502094259852,0.401474345790734,0.40235109498024,0.997820934998203,0.327225338192855
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_018,21,8,27,0.101530099763436,0.068253436791711,-0.674233453449241,0.385995973825965,-1.74673701066435,0.0920514737314763
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_017,21,8,27,0.00135318448260152,-0.0356337346106352,-0.0789641202412487,0.412833921867997,-0.1912733330729,0.849742561844747
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_016,21,8,27,0.00715188649723113,-0.0296202658547233,-0.189019560401743,0.428603750948102,-0.441012380278095,0.662715323996062
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_015,21,8,27,0.00115497106894802,-0.0358392892618316,0.0726106734238092,0.410943472082327,0.176692607029082,0.861068578899133
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,chip_left_009,21,8,27,0.00713505697402001,-0.0296377186936088,0.183061582453429,0.415586752961751,0.440489455327459,0.66308923655241
Melbourne,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_014,21,8,27,0.00108291425439531,-0.0359140148472936,0.07012004313819,0.409852867634572,0.171085891244049,0.865431951981206
