site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_013,22,7,27,0.0406787627671268,0.00514834657331675,0.465821556528219,0.435347306525376,1.06999985883929,0.294091984494972
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_012,22,7,27,0.0716069174702579,0.037221988487675,0.603710646587875,0.418345798182274,1.44309002076994,0.160497599951067
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_011,22,7,27,0.0491719317781678,0.0139560773995815,0.495170931964769,0.419049784676116,1.18165179907558,0.24764734737324
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_010,22,7,27,0.0403295978282171,0.00478624959963259,0.454135656090386,0.426336802963974,1.06520397238322,0.296217151058318
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_019,22,7,27,0.0473066913605204,0.0120217540035028,0.495044100707939,0.427540516596152,1.15788815677451,0.257049999046148
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_018,22,7,27,0.144356721535994,0.11266622974103,0.919767634234783,0.430947243752093,2.13429288055474,0.0420512077387876
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_017,22,7,27,0.11443611831568,0.0816374560310761,0.813281310631889,0.435398871175446,1.86789944685955,0.0726658760374159
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_016,22,7,27,0.142989781453941,0.111248662248531,0.934735373664797,0.440399984570721,2.12246913354443,0.0431169159344673
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_015,22,7,27,0.079587283056843,0.0454979231700595,0.690790199671584,0.452099213169114,1.52796151718403,0.138153669930431
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_014,22,7,27,0.0628919226591499,0.0281842160909703,0.586007462078333,0.435330072313409,1.34612217107861,0.189457230614136
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fornix_left_013,22,7,27,0.00731540485647021,-0.0294506912599568,-0.203872995016364,0.457050595344028,-0.446062202069568,0.659109076738769
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fornix_left_012,22,7,27,0.012546153296381,-0.0240262113963456,0.263275531818703,0.449502099742615,0.585704787518131,0.56293815053501
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fornix_left_011,22,7,27,0.0406267548914023,0.00509441247997278,0.477781686880603,0.44682282680048,1.06928665731294,0.294407335091426
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fornix_left_010,22,7,27,0.0572729903736555,0.0223571752023095,0.554064469472213,0.432609910466027,1.2807484435004,0.211174828934579
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_022,22,7,27,0.0438213132953542,0.00840728786184886,0.419913932584489,0.377489814197791,1.11238480295648,0.2757793646824
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_021,22,7,27,0.0162062201412025,-0.0202305865202344,0.294327072288914,0.441325983374071,0.666915349145532,0.510485879675808
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_left_020,22,7,27,0.03382054825475,-0.00196387588396285,0.399146497297863,0.410571705838488,0.97217244057943,0.339594286427963
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_right_023,22,7,27,0.0391814918842368,0.00359562121328272,0.469491545523158,0.447431019847421,1.04930486420736,0.303339941718629
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_right_022,22,7,27,0.0213887821872065,-0.0148560777317859,0.347379810192827,0.452204372557845,0.768192063751862,0.449040147755312
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_right_021,22,7,27,0.0136204537930566,-0.0229121219923858,0.274783586205315,0.450023450829438,0.610598371482334,0.546571501653818
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_right_020,22,7,27,0.024639323725804,-0.0114851457658327,0.372767858678648,0.451361805573802,0.825873731617056,0.416113977459929
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_right_012,22,7,27,0.0813225115507132,0.0472974193859249,0.710365398334882,0.459489998401468,1.54598663911335,0.133749746309158
UCLA,9d,native.tract.bundles.along.dwi.harm.zscore.map.dti_FA_mean,fimbria_right_011,22,7,27,0.109281841277157,0.0762922798429779,0.824613334313229,0.453069286440361,1.82006010778613,0.0798538249391887
