site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_013,22,7,27,0.00934530256664991,-0.0273456121531037,0.220705292813667,0.43731596705789,0.504681533351037,0.617876893873903
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_012,22,7,27,0.0095963982688925,-0.0270852166100375,0.221985111395449,0.434004206409821,0.511481474411871,0.613171798874497
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_011,22,7,27,0.0147506350943948,-0.0217400821243312,0.284400171749341,0.447317299470528,0.635790683897034,0.530265525741559
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_010,22,7,27,0.00500513942739046,-0.0318465220752988,0.17232049310631,0.467581559773531,0.368535690735477,0.715347798860768
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_019,22,7,27,0.08833328555809,0.0545678516898712,0.705476042283843,0.436170455655538,1.61743197673385,0.117410141915021
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_018,22,7,27,0.160203231358925,0.129099647335181,0.864825034563229,0.381063923366626,2.26950120841319,0.0314382912170995
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_017,22,7,27,0.0932077636771429,0.0596228660355557,0.669477003158323,0.401866342105454,1.66591956830922,0.107291431031747
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_016,22,7,27,0.0274654345034,-0.00855436421869626,0.356245716941539,0.407968898086454,0.873217832566358,0.390244649034163
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_015,22,7,27,0.0645961183683066,0.0299515301597254,0.600000773173535,0.43940632190215,1.36548052057191,0.183371212450705
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_014,22,7,27,0.0275384168584875,-0.00847867881342035,0.392236638129649,0.448572884646683,0.874410049190986,0.389606800630718
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_013,22,7,27,0.0193494601511146,-0.0169709302136589,-0.327213368469563,0.448303228110423,-0.729892956267017,0.471741238434173
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_012,22,7,27,0.00343873997683775,-0.0334709363203163,-0.133200080819767,0.436390148439328,-0.305231640301993,0.762530456248357
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_011,22,7,27,0.00209704817109538,-0.0348623204151604,0.106679615923703,0.447857149551258,0.238200095790797,0.813524423179117
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_010,22,7,27,0.00487960343238187,-0.031976707551604,0.163791835048429,0.450148613042414,0.363861689901499,0.718795143012452
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_022,22,7,27,0.0126065189733,-0.0239636099536147,0.238031889900889,0.40541592084841,0.587130099387221,0.561994352316038
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_021,22,7,27,0.000454621806861058,-0.0365655773854774,0.0482292689733383,0.435216070020811,0.110816838567179,0.912581249723648
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_020,22,7,27,0.0507095832423479,0.0155506789179906,0.467663132023938,0.38940881598077,1.20095671395132,0.240198029475247
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_023,22,7,27,0.00249563634014789,-0.0344489697213279,0.12010498976488,0.462110588844077,0.259905296836653,0.796908539089367
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_022,22,7,27,0.00336239422607725,-0.0335501096914754,-0.124148519261582,0.411342877168367,-0.301812736168436,0.765107347006267
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_021,22,7,27,0.00219195051628998,-0.0347639031682918,-0.106156615427343,0.435886391284583,-0.243541935582098,0.80942654671272
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_020,22,7,27,0.00239891035398619,-0.0345492781514216,0.117051980936388,0.459376033800177,0.254806459901877,0.80080341739242
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_012,22,7,27,0.0535231556509692,0.0184684577121162,0.57738610015821,0.467270736679505,1.23565645103565,0.227229845357183
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_011,22,7,27,0.0547825957090846,0.01977454369831,0.593835538484313,0.474710518040355,1.25094245001294,0.221687173514649
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_014,22,7,27,0.0420403217786475,0.00656033369637521,0.505129141981351,0.464046115437386,1.08853220655719,0.285981483495356
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_013,22,7,27,0.0333129084754452,-0.00249031713657533,0.452624272056064,0.469237423132226,0.964595425988688,0.343308157239232
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_016,22,7,27,0.0394174808593453,0.00384035052080256,0.482093291502206,0.458006997090966,1.05258935903649,0.301858716274453
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_015,22,7,27,0.0401417299515492,0.00459142365345844,0.477009735437521,0.448901311022366,1.06261604438432,0.29736841993258
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_018,22,7,27,0.0464725161669269,0.0111566834323688,0.534338962921767,0.465804280585529,1.14713192899406,0.261391006224235
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_017,22,7,27,0.0216854192367162,-0.0145484541248868,0.372752863236409,0.481830688997903,0.773617936233263,0.44587778497576
UCLA,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_019,22,7,27,0.0686971423533508,0.0342044439219935,0.645463998483751,0.457368524592531,1.41125583370389,0.169589160885838
