site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ac,61,23,80,0.182519484159547,0.15186396481553,-0.37426670907534,0.209844934601045,-1.78353940154377,0.0782910220338891
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,chip_right,61,23,80,0.03788370605915,0.00180434503636806,-0.288089340611159,0.229215935899945,-1.25684690935675,0.21246637898517
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cing_left,61,23,80,0.115521550554437,0.082353608700228,-0.638183771255003,0.228497006902706,-2.79296337359352,0.00653195888696654
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cing_right,61,23,80,0.108814547369746,0.0753950928961113,-0.653840368523639,0.245059615912862,-2.66808697176825,0.00923194167711005
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cp_left,61,23,80,0.0766526617411791,0.0420271365564733,-0.440246076941836,0.24216353652903,-1.81797013395145,0.0728120747960281
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cp_right,61,23,80,0.0814118393137244,0.046964783287989,-0.25186407502595,0.250324122472719,-1.00615183442179,0.317376153088332
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fimbria_left,61,23,80,0.06836433771986,0.0334280003843547,-0.344904111933357,0.234364572126114,-1.47165635490231,0.145036683608431
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fimbria_right,61,23,80,0.0140780814780693,-0.0228939904665031,-0.255001517094106,0.260291910301225,-0.979675153173237,0.330199896122747
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fornix_left,61,23,80,0.0910171564551394,0.0569302998222071,-0.406655391190121,0.221951979904523,-1.8321773537008,0.0706463661735723
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fornix_right,61,23,80,0.0893249541572689,0.0551746399381663,-0.477577646272196,0.253980963434721,-1.88036788196114,0.0636974432683739
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,genu,61,23,80,0.10759077009844,0.0741254239771315,-0.413286023086675,0.249922858197491,-1.65365435585765,0.102116780163518
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ic_left,61,23,80,0.0324225630721585,-0.0038615908126356,-0.208635538362555,0.228845756215385,-0.911686289546885,0.364672956803725
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ic_right,61,23,80,0.0643604265828885,0.0292739425797467,-0.275411276818331,0.251212875596698,-1.09632627772026,0.276225318041283
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,splenium,61,23,80,0.156750939120292,0.125129099337303,-0.6163921787039,0.245577997928498,-2.50996499647077,0.0140916568456385
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,thal_left,61,23,80,0.019639138058812,-0.0171243942639827,-0.295688221177917,0.233680411901102,-1.2653530468059,0.209417891869564
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,thal_right,61,23,80,0.0998773962792754,0.0661227986397481,-0.249851818484666,0.241041655825761,-1.03655037395392,0.303068485748987
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,hc,61,23,80,0.156706773880701,0.125083277901227,-0.210725782449526,0.223767416495325,-0.941717904018117,0.349172165267719
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,chip_left,61,23,80,0.105136563908368,0.0715791850549314,-0.482513268564464,0.237748844960813,-2.02950836057266,0.0457315103340801
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,global_mean,61,23,80,0.0568788996380193,0.0215118583744449,-0.529211407803007,0.246783064768333,-2.14443972603956,0.0350327217568985
Combined,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,pc1,61,23,80,0.105785658789522,0.0722526209941288,0.327894187822196,0.235259149562808,1.39375743061019,0.16725058850467
