site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ac,18,8,24,0.298023982058809,0.268774981311259,-1.05642852321309,0.330955824508446,-3.19205297197039,0.00391526721687427
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,chip_right,18,8,24,0.290368819998469,0.260800854165072,-1.00145273921444,0.319570139904065,-3.13374941574666,0.00450676187823487
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cing_left,18,8,24,0.549943809657421,0.531191468393147,-1.67550628787284,0.309395969631949,-5.41541084024459,1.4573250333874e-05
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cing_right,18,8,24,0.331119463868706,0.303249441529902,-1.37390342011306,0.39859560699866,-3.44686041689787,0.00210072652645702
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cp_left,18,8,24,0.182604239928151,0.148546083258491,-0.998316001971137,0.431144820647598,-2.31550039374618,0.0294500266709445
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cp_right,18,8,24,0.213508096741343,0.180737600772232,-1.05342370345893,0.412702803366371,-2.55249951021964,0.0174779112933688
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fimbria_left,18,8,24,0.379985204823056,0.354151255024016,-1.33759515646334,0.348768095285627,-3.8351993044774,0.00079824694492994
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fimbria_right,18,8,24,0.314209527390835,0.285634924365453,-1.32670449556694,0.4000871738651,-3.31603855917228,0.00289622375942679
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fornix_left,18,8,24,0.374221425190232,0.348147317906492,-1.2674870247508,0.334567631623234,-3.78843290548247,0.000897729797195671
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fornix_right,18,8,24,0.347795510291794,0.320620323220619,-1.44390884645652,0.403611993250308,-3.57746764368583,0.0015204314758386
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,genu,18,8,24,0.277716012323566,0.247620846170381,-1.2512110956095,0.41188739303552,-3.03775040646025,0.00567237272845766
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ic_left,18,8,24,0.163467399938487,0.128611874935924,-0.82277478024905,0.37992791827486,-2.16560758152501,0.0405007203151627
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ic_right,18,8,24,0.238784420273669,0.207067104451738,-1.14700542846298,0.418033121378566,-2.74381471181148,0.0113080448317538
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,splenium,18,8,24,0.355720499119789,0.328875519916447,-1.42436199376672,0.391288844320434,-3.6401804304962,0.00130072761827723
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,thal_left,18,8,24,0.192165861853284,0.158506106097171,-0.921288246544583,0.385578573045714,-2.38936577638964,0.0250866727136776
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,thal_right,18,8,24,0.287404449309212,0.25771296803043,-1.20192900287378,0.38632072168146,-3.11122063978963,0.00475762317584048
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,hc,18,8,24,0.255335461688364,0.224307772592046,-1.03261656344263,0.359963308622014,-2.86867171933612,0.00845967294289947
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,chip_left,18,8,24,0.368387604416212,0.342070421266888,-1.43749868831179,0.384215299246028,-3.74138846405307,0.00101009414991917
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,global_mean,18,8,24,0.410057044746365,0.385476088277464,-1.48336769253794,0.363183463577138,-4.08434810860512,0.000425671214348505
Finland,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,pc1,18,8,24,0.389529380223996,0.364093104399996,1.44132628691114,0.368314621749049,3.91330183978738,0.000655780345058497
