site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ac,21,8,27,0.00213797229351339,-0.0348198805845046,-0.0914937853349857,0.380402993273298,-0.24051804784105,0.811745586751894
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,chip_left,21,8,27,0.000775139960523461,-0.0362331881890867,-0.0570578240334551,0.394252880629985,-0.144723924254608,0.886003766349042
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,chip_right,21,8,27,0.0274663622699055,-0.00855340209046829,-0.297135019497775,0.340270031477481,-0.873232997356802,0.390236531504415
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cing_left,21,8,27,0.00728088729386697,-0.0294864872508045,-0.144946095827473,0.32572093847141,-0.445000854128988,0.659866330120865
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cing_right,21,8,27,0.000839516240528312,-0.036166427602415,-0.0585429376840838,0.388683140625881,-0.150618669978365,0.881396158745352
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cp_left,21,8,27,0.0161094052762779,-0.020330987120897,-0.241578932397581,0.36333800424805,-0.66488759659905,0.511761998281635
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cp_right,21,8,27,0.0142057850975463,-0.0223051117506927,0.240076195645144,0.384882115264087,0.623765527479538,0.538016276073738
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fimbria_left,21,8,27,0.0321659349015852,-0.00367977121317087,-0.332101721693466,0.350583609179156,-0.947282511213336,0.351896568741173
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fimbria_right,21,8,27,0.0345853776389841,-0.00117071948549796,-0.359692794109719,0.365729953330271,-0.983492849941387,0.334096471667532
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fornix_left,21,8,27,0.0532240065999278,0.0181582290665918,-0.430899565674208,0.349755063648802,-1.23200379482393,0.228569614358503
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fornix_right,21,8,27,0.0274757739736845,-0.00854364180506795,-0.308762666925257,0.353523385990603,-0.87338682293981,0.390154196649241
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,genu,21,8,27,0.0152250955689786,-0.0212480490395777,0.240485086961193,0.372215745290503,0.646090580540867,0.523674709820011
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,hc,21,8,27,0.0106598383609405,-0.0259823898479137,-0.177580115888989,0.329238006167374,-0.539367000657611,0.594054086224267
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ic_left,21,8,27,0.00878283682944761,-0.0279289099546469,-0.173295811209249,0.354301656455897,-0.489119393182461,0.628707103408751
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ic_right,21,8,27,0.0241042562807896,-0.0120400305236255,0.293641285940911,0.359575488444695,0.816633211599113,0.421285290750526
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,splenium,21,8,27,0.0161459049854636,-0.0202931355706302,-0.222392921687746,0.334097503866671,-0.665652748415914,0.511280261374266
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,thal_left,21,8,27,0.00266529866914908,-0.0342730236023638,0.0945154606554254,0.351858864763414,0.268617534246228,0.790265871720145
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,thal_right,21,8,27,0.0180364959831229,-0.0183325226841689,0.23573374417686,0.334742966764868,0.70422314307337,0.487323822707411
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,global_mean,21,8,27,0.00470545969100361,-0.0321573010611815,-0.120248532440757,0.336567893707903,-0.357278678949446,0.723660747137092
Melbourne,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,pc1,21,8,27,0.00438406367204589,-0.0324906006363967,-0.116118410019545,0.336764800532038,-0.34480566210036,0.73291202236423
