site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ac,22,7,27,0.000250408747024489,-0.0367773538919745,0.0319306180254987,0.388281154687891,0.0822358171134143,0.93506581573115
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,chip_right,22,7,27,0.0336796950362357,-0.00210994588834801,0.443354412646764,0.457030970337439,0.970075205886862,0.340619511708786
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cing_left,22,7,27,0.0328924937261763,-0.00292630280248374,0.413879473124429,0.431897790471616,0.958281061527284,0.346424004178738
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cing_right,22,7,27,0.00553747716294285,-0.0312944681273184,0.156168769281778,0.40276390426213,0.387742713855856,0.701246495801257
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cp_left,22,7,27,0.00374741595778639,-0.033150827895629,0.135974754196342,0.426673018080253,0.318686086146573,0.752416831391632
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,cp_right,22,7,27,0.0181634870386334,-0.018200828256232,0.329523373222467,0.466255875776671,0.706743636578434,0.485780888946271
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fimbria_left,22,7,27,0.0816486244507457,0.047635610541514,0.643794468918466,0.415523282675024,1.54935835309611,0.132938832076303
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fimbria_right,22,7,27,0.123795638706364,0.0913436253251183,0.864511514864037,0.442628050659964,1.95313314096348,0.0612399486390979
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fornix_left,22,7,27,0.100782395026299,0.0674780392865322,0.745039086180774,0.428289313549339,1.73956963811787,0.0933245718688689
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,fornix_right,22,7,27,0.150331532773326,0.118862330283449,0.954987512182115,0.436933675708367,2.18565783613237,0.0376899068886023
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,genu,22,7,27,0.00141910521027998,-0.0355653723745244,0.0949163965059329,0.484555680135643,0.195883363660834,0.846168265391416
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ic_left,22,7,27,0.0201272728382632,-0.0161643096492086,0.319834818872035,0.429473357682266,0.744713992500218,0.462877929405856
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,ic_right,22,7,27,0.0184402426995441,-0.0179138223856579,0.33418896177412,0.469229464327834,0.712207964716884,0.482445478299774
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,splenium,22,7,27,0.0288720011334105,-0.00709570252831493,0.386620638312458,0.431522004180821,0.895946520841734,0.378200116006345
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,thal_left,22,7,27,0.00250716673621038,-0.0344370122735596,0.112858536226794,0.433227298490759,0.260506520757028,0.796449628459745
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,thal_right,22,7,27,0.0698649733874747,0.0354155279573812,0.655978728272622,0.460628839328416,1.42409391741303,0.165874757865049
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,chip_left,22,7,27,0.00634077210950745,-0.0304614215160663,0.171275689072012,0.412630669035546,0.415082304648706,0.681361621329814
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,hc,22,7,27,0.0890372121557045,0.0552978496429528,0.685415373173987,0.421926206178029,1.62449111512353,0.115889482005393
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,global_mean,22,7,27,0.0742006413019331,0.0399117761649678,0.678282711206831,0.461087632741875,1.47104945576917,0.152837392695428
UCLA,9d,native.tract.bundles.dwi.harm.zscore.map.dti_FA_mean,pc1,22,7,27,0.0796673165189664,0.0455809208344836,-0.700040866573038,0.457903370103723,-1.52879605671927,0.137947199013187
