site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ac,61,23,80,0.444113055722174,0.423267295311755,-0.211213150554787,0.188353411757606,-1.12136620507092,0.265486743994169
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,chip_right,61,23,80,0.23774978120338,0.209165397998507,-0.627241023874377,0.211214736527217,-2.96968400116131,0.00393348066323485
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cing_left,61,23,80,0.306224331262058,0.280207743684385,-0.32740557503486,0.198173739907348,-1.65211382289061,0.102431276281271
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cing_right,61,23,80,0.42221725383613,0.400550400854985,-0.526387392882551,0.205629208800477,-2.55988629219163,0.0123531998441647
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cp_left,61,23,80,0.455599911243978,0.435184907915627,-0.229040073239755,0.186797350536004,-1.22614197997208,0.223742228226955
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cp_right,61,23,80,0.418910713306055,0.397119865055032,-0.163541807601892,0.195904855786085,-0.834802215318591,0.406315135250664
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fimbria_left,61,23,80,0.34523569360654,0.320682032116785,-0.0517050154109283,0.204871801725091,-0.252377413463221,0.801396654530174
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fimbria_right,61,23,80,0.179561623765293,0.148795184656492,-0.0854261725450236,0.228105595068661,-0.374502749567848,0.70902119036515
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fornix_left,61,23,80,0.469132740103908,0.449225217857805,-0.183745944878925,0.149373090682008,-1.23011409913243,0.222259451297249
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fornix_right,61,23,80,0.30920811622968,0.283303420588293,-0.0790334235958136,0.166373571721327,-0.475035925346323,0.636055724372433
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,genu,61,23,80,0.481519953194024,0.4620769514388,-0.249621998284497,0.18193889062055,-1.37201011522658,0.173895467924333
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ic_left,61,23,80,0.377728260600071,0.354393070372574,-0.144290638848743,0.196048867975107,-0.735993226275929,0.463887392491726
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ic_right,61,23,80,0.398101805592122,0.375530623301826,-0.236297051399919,0.199443474229017,-1.18478206576257,0.239611425374909
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,splenium,61,23,80,0.178244016127435,0.147428166732214,-0.305612765572595,0.233472673567949,-1.30898730417652,0.19428623797003
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,thal_left,61,23,80,0.317577184657089,0.29198632908173,-0.0958210793501019,0.166364570406294,-0.575970467246053,0.566251961628275
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,thal_right,61,23,80,0.36028568313186,0.336296396249305,-0.209791064240082,0.210245380753246,-0.997839112985332,0.321366033987785
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,hc,61,23,80,0.251297534608381,0.223221192156195,-0.21457675647499,0.214188747905867,-1.0018115263893,0.319455237488374
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,chip_left,61,23,80,0.0795123310898713,0.0449940435057414,0.0755721617440506,0.240846297769055,0.31377755209057,0.754506713161994
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,global_mean,61,23,80,0.437913255383461,0.416835002460341,-0.260250751039417,0.189025072266741,-1.37680545717325,0.172413248292039
Combined,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,pc1,61,23,80,0.0774537480015214,0.0428582635515784,0.304667080937226,0.240124281623796,1.26878914067737,0.208195635570822
