site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ac,18,8,24,0.137752509223154,0.101825530440786,-0.76385541637642,0.390096228933629,-1.95812048341124,0.0619383751223647
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,chip_right,18,8,24,0.30505936087818,0.276103500914771,-1.055917710749,0.32531652913741,-3.24581635476319,0.00343673795416163
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cing_left,18,8,24,0.061935506377417,0.0228494858098093,-0.529693129515883,0.420789817172836,-1.25880691000257,0.220207356222903
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cing_right,18,8,24,0.203251505700056,0.170053651770891,-1.08806573076676,0.439737245057816,-2.4743542717736,0.0208064049000872
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cp_left,18,8,24,0.0814812272092424,0.0432096116762941,-0.598250699266295,0.410008473104685,-1.45911789270157,0.157497947408792
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cp_right,18,8,24,0.120895828762311,0.0842664882940741,-0.828533917987734,0.456057059888474,-1.81673301623781,0.0817685146449192
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fimbria_left,18,8,24,0.194282141379499,0.160710563936978,-0.907421146983344,0.377205771665458,-2.40563961409406,0.024208986466071
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fimbria_right,18,8,24,0.149965320828502,0.114547209196356,-0.838795889210082,0.407636978777679,-2.05770313509156,0.0506382578262808
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fornix_left,18,8,24,0.0873346997377978,0.0493069788935392,-0.658322483526546,0.434405605367976,-1.51545577541269,0.142718031795664
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fornix_right,18,8,24,0.161917985974388,0.126997902056654,-0.92208807752769,0.428215614535417,-2.15332660983904,0.0415544319668592
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,genu,18,8,24,0.244228016554724,0.212737517244504,-1.13458972625483,0.407409244083453,-2.78488950050044,0.0102835052902907
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ic_left,18,8,24,0.0140471065194429,-0.027034264042247,-0.245663565435982,0.420116535022118,-0.584751003487755,0.564172545255371
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ic_right,18,8,24,0.126015523265463,0.0895995034015236,-0.846701381761825,0.455160413805737,-1.86022632039173,0.0751519315696902
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,splenium,18,8,24,0.123630905503136,0.0871155265657672,-0.842715456789351,0.457989309320746,-1.84003303055087,0.0781638829736656
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,thal_left,18,8,24,0.124024317602655,0.0875253308360987,-0.677294311176073,0.367421367242232,-1.84337213771661,0.0776587356347802
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,thal_right,18,8,24,0.142306942865935,0.106569732152015,-0.861516182267521,0.431728502364811,-1.99550453015849,0.057458770752688
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,hc,18,8,24,0.0393035512735502,-0.000725467423385195,-0.365885112624468,0.369246437878186,-0.990896797073973,0.331621738574358
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,chip_left,18,8,24,0.00781460083668186,-0.0335264574617897,-0.21538929279826,0.495406277682081,-0.434773038819833,0.667611550264779
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,global_mean,18,8,24,0.227742361820886,0.19556496023009,-1.05356689426361,0.396018697279069,-2.66039684869015,0.0136920479728435
Finland,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,pc1,18,8,24,0.210673792396606,0.177785200413131,1.03315202273707,0.408208096355229,2.53094446671141,0.0183427861497624
