site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ac,21,8,27,5.92972508601419e-08,-0.0370369755435915,0.000520375320704614,0.411260990407471,0.00126531650908352,0.998999726442106
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,chip_left,21,8,27,0.0124485799634571,-0.0241273985564148,0.250816496060546,0.429926451875568,0.58339396184243,0.564470023715329
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,chip_right,21,8,27,0.104896699770187,0.071744725687601,-0.747266165421513,0.420096538940697,-1.77879629121867,0.0865359370601738
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cing_left,21,8,27,0.0465592378170877,0.0112466169954984,-0.44129160155231,0.384315328448927,-1.14825396981519,0.260935685963279
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cing_right,21,8,27,0.0239781803851003,-0.0121707758969329,-0.351222443151835,0.43124297095216,-0.814442128474247,0.422517315603943
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cp_left,21,8,27,0.0198731390704425,-0.0164278557788005,-0.313613877261362,0.423858893008305,-0.739901609791675,0.465745041540553
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cp_right,21,8,27,0.00145451558864758,-0.0355286505006616,0.0821392542464925,0.41418427790257,0.198315722321586,0.844283725621648
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fimbria_left,21,8,27,0.000433230316486407,-0.0365877611532732,-0.0432209849836065,0.399539077736151,-0.108177115561519,0.914655105877691
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fimbria_right,21,8,27,2.30755957868371e-05,-0.0370131067895543,0.0104405950970306,0.418274991529128,0.0249610789754891,0.980269580357886
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fornix_left,21,8,27,0.0668573236110149,0.0322964837447562,-0.248367366104595,0.178571514507015,-1.3908565808509,0.175626329535696
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fornix_right,21,8,27,0.0166398365031339,-0.0197809102930464,-0.121142006018778,0.179223377282551,-0.675927481423329,0.504835629691754
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,genu,21,8,27,0.00291316834148706,-0.0340159735717911,0.118668245076076,0.42250936271767,0.280865361924235,0.7809547505261
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,hc,21,8,27,0.0120743361800309,-0.0245155032207087,-0.212118448604125,0.369255575847532,-0.574448870859326,0.57041973368935
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ic_left,21,8,27,0.00491761637073189,-0.0319372867266483,-0.143950580191326,0.394079400230011,-0.365283189396115,0.717746061621319
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ic_right,21,8,27,0.000274891312995626,-0.0367519645643009,0.0366641710002744,0.425519806446595,0.0861632536131451,0.931972442435754
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,splenium,21,8,27,0.0137592445790467,-0.0227681908069144,-0.252451055516048,0.411329148162392,-0.613744629195062,0.544520795296388
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,thal_left,21,8,27,0.000468621908715842,-0.0365510587613316,0.0172889518690084,0.153664555872934,0.112510993643224,0.911250594209393
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,thal_right,21,8,27,0.000808440534546454,-0.0361986542604704,0.0604479950519308,0.408978386011679,0.147802419686317,0.883596952417313
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,global_mean,21,8,27,0.0142202598338618,-0.0222901009130321,-0.234049973151633,0.375027307347404,-0.624087815916889,0.537807765762083
Melbourne,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,pc1,21,8,27,0.00677004438830305,-0.030016250263982,-0.164387103502767,0.383190741915846,-0.428995498901873,0.671330134116391
