site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ac,22,7,27,0.0179665498276973,-0.0184050594379435,-0.298203300008804,0.424288597500362,-0.702831284568165,0.48817705307576
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,chip_right,22,7,27,0.010094840033211,-0.0265683140396329,-0.202064473028782,0.38508371584274,-0.524728688115446,0.604053954775674
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cing_left,22,7,27,0.0216364489213373,-0.0145992381556501,-0.313118604245188,0.405213709941197,-0.772724605716391,0.446397521787492
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cing_right,22,7,27,0.0608401353272083,0.0260564366356235,-0.58563585892796,0.442813095078424,-1.32253509536398,0.197083855857703
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cp_left,22,7,27,0.0159613902492219,-0.0204844841859919,-0.289969777812462,0.438168915885123,-0.661776240395119,0.513723472161701
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,cp_right,22,7,27,0.00165796385059701,-0.0353176671178994,-0.0939987503637554,0.443907362676184,-0.211753077932894,0.833890008162153
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fimbria_left,22,7,27,0.0330523277348995,-0.0027605490156597,0.45838790986908,0.477146489881856,0.960685910070467,0.345235086345074
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fimbria_right,22,7,27,0.019366042238907,-0.0169537339744668,0.341934437006971,0.468267467296522,0.730211814587682,0.471549519108839
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fornix_left,22,7,27,0.00109968263088091,-0.0358966254198272,-0.0771122480986774,0.447269079062208,-0.172406838989092,0.86440354128162
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,fornix_right,22,7,27,0.0110041328140686,-0.0256253437483731,0.2564582263234,0.467901113719811,0.548103474865785,0.588124287559126
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,genu,22,7,27,0.0245383939893479,-0.0115898136406762,-0.353532828352202,0.428972930938618,-0.824137848462026,0.417082407656644
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ic_left,22,7,27,0.0107166732394352,-0.0259234499739192,-0.240603574372123,0.444887847869988,-0.540818490601783,0.59306690211377
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,ic_right,22,7,27,0.0119986204091139,-0.0245940232794375,-0.251640587571932,0.439452487323795,-0.572622967967227,0.571638078678314
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,splenium,22,7,27,0.0015367122433324,-0.035443409525433,-0.0919176319476474,0.450906732619822,-0.203850653135283,0.839998903760789
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,thal_left,22,7,27,0.000594359812881462,-0.0364206638977524,-0.0569751568036508,0.449624353530026,-0.126717239305068,0.900103176566968
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,thal_right,22,7,27,0.00472802551437295,-0.0321338994665763,-0.171386410317695,0.478547974421599,-0.358138409267834,0.723024631921783
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,chip_left,22,7,27,0.00663140575762557,-0.0301600236587587,0.185348015158821,0.436574604557006,0.424550611107795,0.67452831465068
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,hc,22,7,27,0.00531692287493672,-0.0315231910926581,-0.169937521094432,0.447321302742393,-0.379900353621873,0.706991376554031
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,global_mean,22,7,27,0.00299633224854158,-0.0339297295200309,-0.130278625515119,0.457345783682609,-0.284858044314081,0.77792648974167
UCLA,9d,native.tract.bundles.dwi.raw.map.dti_FA_mean,pc1,22,7,27,0.00285359481760729,-0.0340777535224812,0.127499600867351,0.458680474703647,0.277970412736074,0.783152632484091
