site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Combined,9d,native.tract.bundles.map.volume,fimbria_left,61,23,80,0.296948499045161,0.270584067759355,-0.308431440747547,0.211562836606709,-1.45787155104615,0.148790575885044
Combined,9d,native.tract.bundles.map.volume,fornix_left,61,23,80,0.171579400844783,0.140513628376463,-0.428702963351749,0.20357698936968,-2.10585176978552,0.0383531198775143
Combined,9d,native.tract.bundles.map.volume,ac,61,23,80,0.0963179529157669,0.0624298761501081,-0.327087338644016,0.209523389721361,-1.56110178953768,0.12244715704534
Combined,9d,native.tract.bundles.map.volume,splenium,61,23,80,0.093294119259631,0.0592926487318671,-0.268663085513282,0.24883864502923,-1.07966785256254,0.283534456651378
Combined,9d,native.tract.bundles.map.volume,ic_left,61,23,80,0.190187658025561,0.159819695201519,-0.406155124305866,0.229955320235309,-1.766234953339,0.0811712556724897
Combined,9d,native.tract.bundles.map.volume,thal_right,61,23,80,0.0329949269714658,-0.00326776326710432,0.00550376434888011,0.259434859263479,0.0212144365044273,0.983127421976205
Combined,9d,native.tract.bundles.map.volume,cp_right,61,23,80,0.047198327672837,0.0114682649605684,-0.285787767371803,0.234518698771873,-1.21861399056201,0.226572146122399
Combined,9d,native.tract.bundles.map.volume,cp_left,61,23,80,0.0645288657960745,0.0294486982634272,-0.136955067268223,0.251696942534708,-0.544126861013964,0.587867543077799
Combined,9d,native.tract.bundles.map.volume,ic_right,61,23,80,0.00984704814293265,-0.0272836875517075,-0.0161227413630166,0.232164080940741,-0.0694454598561777,0.944808338800332
Combined,9d,native.tract.bundles.map.volume,cing_right,61,23,80,0.0695251836093524,0.0346323779947031,-0.250028276323938,0.222010533694881,-1.1262000598024,0.263447896367473
Combined,9d,native.tract.bundles.map.volume,chip_right,61,23,80,0.225001811916913,0.195939379863797,-0.338486059599218,0.227571175192693,-1.48738547099653,0.140844057068473
Combined,9d,native.tract.bundles.map.volume,genu,61,23,80,0.125240087794243,0.092436591086527,-0.422806491420323,0.232796145557865,-1.81620915761781,0.0730843294406092
Combined,9d,native.tract.bundles.map.volume,thal_left,61,23,80,0.266298266935508,0.23878445194559,-0.139880627567599,0.174057460980054,-0.803646260148702,0.423982781133962
Combined,9d,native.tract.bundles.map.volume,cing_left,61,23,80,0.0633560291127495,0.0282318802044775,-0.276327209811055,0.224729137668588,-1.22960116644313,0.222450523011234
Combined,9d,native.tract.bundles.map.volume,fornix_right,61,23,80,0.08863671255357,0.0544605892743287,-0.195746888618345,0.232079570325201,-0.843447307076859,0.401493234491646
Combined,9d,native.tract.bundles.map.volume,fimbria_right,61,23,80,0.110206411921305,0.0768391523683541,-0.177749010172762,0.225071215355903,-0.789745636249796,0.432010925581827
Combined,9d,native.tract.bundles.map.volume,hc,61,23,80,0.25389218000186,0.225913136751929,-0.0377104113910247,0.208451174177335,-0.180907646789955,0.856897597775058
Combined,9d,native.tract.bundles.map.volume,chip_left,61,23,80,0.588297796110785,0.57285896346494,-0.574979843045402,0.165106526805786,-3.48247797448823,0.00080817725622085
Combined,9d,native.tract.bundles.map.volume,global_mean,61,23,80,0.0528967679104279,0.0173803967070689,-0.437294685356852,0.24414988190933,-1.79109111967234,0.077060911037038
Combined,9d,native.tract.bundles.map.volume,pc1,61,23,80,0.0750317319957876,0.0403454219456295,-0.396035144663554,0.244969907826317,-1.61666854585398,0.109886644542804
