site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland,9d,native.tract.bundles.map.volume,fimbria_left,18,8,24,0.000227148212813182,-0.0414300539449863,-0.0335605116392354,0.454484378204335,-0.0738430477452992,0.941747290301631
Finland,9d,native.tract.bundles.map.volume,fornix_left,18,8,24,0.313858229509935,0.285268989072848,-1.14530588044658,0.34566550237031,-3.3133357902161,0.00291541090472615
Finland,9d,native.tract.bundles.map.volume,ac,18,8,24,0.068958830709976,0.0301654486562249,-0.556189432145313,0.417163795514672,-1.33326390766754,0.194963115134803
Finland,9d,native.tract.bundles.map.volume,splenium,18,8,24,0.110443876283058,0.0733790377948524,-0.652709582141415,0.37812050045786,-1.72619464258367,0.0971656770334873
Finland,9d,native.tract.bundles.map.volume,ic_left,18,8,24,0.0503192637006747,0.0107492330215361,-0.514254366533598,0.456030660389784,-1.12767498153315,0.270605195350664
Finland,9d,native.tract.bundles.map.volume,thal_right,18,8,24,0.24803372903834,0.216701801081605,-1.15465561214955,0.410384225701718,-2.81359647821549,0.00962026474271331
Finland,9d,native.tract.bundles.map.volume,cp_right,18,8,24,0.153712976514723,0.118451017202837,-0.828598934376567,0.396864565565275,-2.08786323161996,0.04759814162473
Finland,9d,native.tract.bundles.map.volume,cp_left,18,8,24,0.0994576125198126,0.0619350130414714,-0.737368632908528,0.452910201567141,-1.62806805931312,0.116568780629113
Finland,9d,native.tract.bundles.map.volume,ic_right,18,8,24,0.106527739928158,0.0692997290918317,-0.761542634958079,0.450192008616653,-1.6915951869029,0.103669413918262
Finland,9d,native.tract.bundles.map.volume,cing_right,18,8,24,0.243397526058235,0.211872422977328,-1.0014043013393,0.360395724638787,-2.77862425350072,0.0104338975751734
Finland,9d,native.tract.bundles.map.volume,chip_right,18,8,24,0.251659754839578,0.220478911291227,-1.00113790355294,0.352395983460204,-2.84094584087675,0.00902624556893434
Finland,9d,native.tract.bundles.map.volume,genu,18,8,24,0.278338491163989,0.248269261629155,-1.26494450788101,0.415763145562545,-3.04246425250004,0.00560894125673622
Finland,9d,native.tract.bundles.map.volume,thal_left,18,8,24,0.109178365927484,0.0720607978411293,-0.745147673782289,0.434474019661706,-1.71505691954258,0.0992203775355354
Finland,9d,native.tract.bundles.map.volume,cing_left,18,8,24,0.285047984978187,0.255258317685611,-1.1669080823714,0.377233702925497,-3.09332934284999,0.00496635746419888
Finland,9d,native.tract.bundles.map.volume,fornix_right,18,8,24,0.273152765446279,0.242867464006541,-1.0781434844417,0.358996084748906,-3.00321794650153,0.00615846231070306
Finland,9d,native.tract.bundles.map.volume,fimbria_right,18,8,24,0.000449153027539348,-0.0411987989296465,-0.0437671075917019,0.421451404827836,-0.103848526995849,0.918152505177913
Finland,9d,native.tract.bundles.map.volume,hc,18,8,24,0.154426818953134,0.119194603076181,-0.875606597935065,0.418232368958449,-2.09358878681639,0.0470397764541977
Finland,9d,native.tract.bundles.map.volume,chip_left,18,8,24,0.402868097905144,0.377987601984525,-1.39407780049338,0.346445630878272,-4.02394395033722,0.000495964869954134
Finland,9d,native.tract.bundles.map.volume,global_mean,18,8,24,0.355654334297205,0.328806598226255,-1.39669845980084,0.383744740550748,-3.63965498991937,0.00130243232142571
Finland,9d,native.tract.bundles.map.volume,pc1,18,8,24,0.398813543641664,0.373764107960067,-1.46120364698601,0.366205423136579,-3.99012017482069,0.000540225825489886
