site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne,9d,native.tract.bundles.map.volume,fimbria_left,21,8,27,0.161969270344371,0.13093109517194,-0.930789420444256,0.407458343652673,-2.28437933581177,0.0304324545764695
Melbourne,9d,native.tract.bundles.map.volume,fornix_left,21,8,27,0.0621018659516595,0.0273648980239432,-0.331535012960909,0.247955090936892,-1.33707685415215,0.192354347595665
Melbourne,9d,native.tract.bundles.map.volume,ac,21,8,27,0.0117887698282872,-0.0248116461039984,-0.185214718977065,0.326350485601512,-0.567533149631099,0.575041176756601
Melbourne,9d,native.tract.bundles.map.volume,splenium,21,8,27,0.00837851332300359,-0.028348208405774,-0.216552029590826,0.453387829882925,-0.477630883137611,0.636757032461169
Melbourne,9d,native.tract.bundles.map.volume,ic_left,21,8,27,0.0569396380336252,0.022011476479315,-0.568409601359466,0.445186429947328,-1.27679004372779,0.2125486127979
Melbourne,9d,native.tract.bundles.map.volume,thal_right,21,8,27,0.0297329758530965,-0.00620283985604808,0.393361595717412,0.432450617586821,0.909610438094562,0.371076862824341
Melbourne,9d,native.tract.bundles.map.volume,cp_right,21,8,27,0.00421003025733407,-0.0326710797331351,0.109598784752271,0.324388255193207,0.337862986707065,0.738079345221492
Melbourne,9d,native.tract.bundles.map.volume,cp_left,21,8,27,0.0634679222821511,0.028781549033342,0.571186931171295,0.422260607403336,1.35268817681993,0.18737556951256
Melbourne,9d,native.tract.bundles.map.volume,ic_right,21,8,27,0.0526982275805799,0.017612976750231,0.399788722056865,0.326208164921032,1.22556319874349,0.23094643997576
Melbourne,9d,native.tract.bundles.map.volume,chip_left,21,8,27,0.124879067782985,0.0924671814045773,-0.786330038455742,0.400601154213235,-1.96287511951898,0.0600396507184572
Melbourne,9d,native.tract.bundles.map.volume,cing_right,21,8,27,0.000487260843631327,-0.0365317294954934,-0.0456857352439852,0.398209986263183,-0.114727748725495,0.909509865888329
Melbourne,9d,native.tract.bundles.map.volume,chip_right,21,8,27,0.0530378383539322,0.0179651657003741,-0.500542976132056,0.407036068386973,-1.22972634370128,0.229407969716859
Melbourne,9d,native.tract.bundles.map.volume,genu,21,8,27,0.0238921026905052,-0.0122600416542908,-0.274122646764971,0.337197822357416,-0.812943111104708,0.423361481839915
Melbourne,9d,native.tract.bundles.map.volume,thal_left,21,8,27,0.00899153882925894,-0.0277124782511389,0.116294258747572,0.234962233576683,0.49494872847137,0.624640204292936
Melbourne,9d,native.tract.bundles.map.volume,cing_left,21,8,27,0.00492915989781085,-0.0319253156615293,-0.120933129299396,0.330676974514276,-0.365713789044525,0.717428385424361
Melbourne,9d,native.tract.bundles.map.volume,fornix_right,21,8,27,0.0303029053327691,-0.00561180187712829,-0.29251677457502,0.318452605579266,-0.918556700275482,0.366460957627305
Melbourne,9d,native.tract.bundles.map.volume,fimbria_right,21,8,27,0.00959548053208856,-0.0270861683370933,-0.229138140575938,0.448010760175523,-0.511456779489325,0.613188855816555
Melbourne,9d,native.tract.bundles.map.volume,hc,21,8,27,0.00265817169923865,-0.0342804145341229,-0.112266086975197,0.418501679689975,-0.268257195666128,0.790540297715907
Melbourne,9d,native.tract.bundles.map.volume,global_mean,21,8,27,0.00600132428274422,-0.0308134414845616,-0.142090894760107,0.351927919901268,-0.403749991759592,0.689576598619189
Melbourne,9d,native.tract.bundles.map.volume,pc1,21,8,27,0.00667169221009859,-0.0301182451154534,0.147127980370364,0.345495023500528,0.425846887401372,0.673594974295985
