site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA,9d,native.tract.bundles.map.volume,fimbria_left,22,7,27,0.00153099061141892,-0.0354493430696396,-0.0842160307632045,0.413898562079249,-0.203470218258646,0.84029325569866
UCLA,9d,native.tract.bundles.map.volume,fornix_left,22,7,27,0.00744663639176646,-0.0293145992974273,-0.19146814586736,0.425413735615913,-0.45007513824196,0.65624925690218
UCLA,9d,native.tract.bundles.map.volume,ac,22,7,27,0.0428478687522747,0.00739778981717387,-0.44976765834091,0.409102575828814,-1.09940070025155,0.281299898632252
UCLA,9d,native.tract.bundles.map.volume,splenium,22,7,27,4.23856111611187e-05,-0.0369930815884254,0.0160180722431054,0.473489046884708,0.0338298686073,0.973261678177153
UCLA,9d,native.tract.bundles.map.volume,ic_left,22,7,27,0.0262716734696494,-0.00979233862406725,-0.357749787850421,0.419152958690425,-0.853506531286697,0.400887396210312
UCLA,9d,native.tract.bundles.map.volume,thal_right,22,7,27,0.0183051722151068,-0.01805389548063,0.328747569286325,0.463321026861769,0.709545974015132,0.484068705527342
UCLA,9d,native.tract.bundles.map.volume,cp_right,22,7,27,0.0235590403456788,-0.0126054396415183,-0.371884809766586,0.460755739348874,-0.807119213082668,0.426651072046664
UCLA,9d,native.tract.bundles.map.volume,cp_left,22,7,27,0.010049552937649,-0.0266152784350306,-0.245097106767099,0.468154992908868,-0.523538380407299,0.604870590450603
UCLA,9d,native.tract.bundles.map.volume,ic_right,22,7,27,0.00132771037019765,-0.0356601522086839,-0.086086696973136,0.454374540376968,-0.189461973159224,0.85114786188528
UCLA,9d,native.tract.bundles.map.volume,cing_right,22,7,27,0.0209981584358443,-0.0152611690294948,0.282639758371821,0.371409083759037,0.760993122492372,0.45325659471558
UCLA,9d,native.tract.bundles.map.volume,chip_right,22,7,27,0.0201318983832622,-0.0161595127877281,0.337901835050127,0.453680500530622,0.74480131867012,0.462825998586173
UCLA,9d,native.tract.bundles.map.volume,genu,22,7,27,0.0020059234919974,-0.0349568200823731,-0.104422838794738,0.44825011846732,-0.232956634014478,0.817552083085091
UCLA,9d,native.tract.bundles.map.volume,thal_left,22,7,27,0.0034965139421747,-0.0334110225784854,-0.131584779562415,0.427509287609922,-0.307793966999096,0.760601003036653
UCLA,9d,native.tract.bundles.map.volume,cing_left,22,7,27,0.00665375910457282,-0.0301368424100725,0.19397005492862,0.456110002355005,0.425270338135769,0.674010033858639
UCLA,9d,native.tract.bundles.map.volume,fornix_right,22,7,27,0.0258349553729785,-0.0102452314650592,0.38240670591533,0.451914244396922,0.846193079011375,0.404882583609756
UCLA,9d,native.tract.bundles.map.volume,fimbria_right,22,7,27,0.0149921324756283,-0.0214896403956448,-0.266527946806831,0.415766042604341,-0.641052706318465,0.526892849328695
UCLA,9d,native.tract.bundles.map.volume,chip_left,22,7,27,0.013110975372533,-0.0234404699840398,-0.264952405357413,0.442387292323367,-0.59891504560611,0.554221806305112
UCLA,9d,native.tract.bundles.map.volume,hc,22,7,27,0.0436728067989564,0.00825328112484369,0.457851056591281,0.412325352602163,1.1104120901172,0.276613051179173
UCLA,9d,native.tract.bundles.map.volume,global_mean,22,7,27,0.00278327136950453,-0.0341506815427359,-0.12401106497488,0.451747290694684,-0.274514241765965,0.785778995759584
UCLA,9d,native.tract.bundles.map.volume,pc1,22,7,27,0.00303465080422908,-0.0338899917585773,0.129657312386946,0.452273146940709,0.286679218662397,0.776546394279285
