site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_right,23,9,30,0.00192716200735398,-0.0313419325924009,0.096101413606034,0.39929250137812,0.24067923458204,0.811440965539498
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_ant,23,9,30,0.0071806212337421,-0.0259133580584667,0.185503314082564,0.398240256288644,0.46580753992914,0.644717537847512
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cerped_left,23,9,30,0.158447238032454,0.130395479300203,0.871390859261677,0.3666491739068,2.37663390858527,0.0240515286681893
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cing_left,23,9,30,0.180830588902679,0.153524941866101,0.930907676611482,0.361740304132987,2.57341431401366,0.0152556697848467
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_left,23,9,30,0.000616328541903561,-0.0326964605066997,-0.0543471536423548,0.399554623645376,-0.136019333593272,0.892714639249871
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.intcap_right,23,9,30,0.123808379598257,0.0946019922515319,0.770274788039457,0.374118843965913,2.05890400995048,0.0482770355149932
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_right,23,9,30,0.175242718712074,0.14775080933581,0.916411761560523,0.362971992247083,2.5247451074316,0.0171006757312996
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.hipcom,23,9,30,0.000532760855878423,-0.032782813782259,-0.0505285478705866,0.399571328519746,-0.12645689083292,0.900214016496355
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_right,23,9,30,0.322070142675273,0.299472480764449,1.24235552632361,0.32908070325348,3.77523055603374,0.000705419235216851
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsub_left,23,9,30,0.193636060173264,0.166757262179039,0.963304928350787,0.358901757514785,2.68403513825396,0.0117260159906207
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_post,23,9,30,0.0177567427135155,-0.0149846991960341,-0.291710669739125,0.396113427213356,-0.736432167400383,0.467187767612025
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_right,23,9,30,0.0508877518651682,0.0192506769273403,0.493829802333445,0.389375682245663,1.26826051253473,0.214459075898915
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfa_left,23,9,30,0.113798022128218,0.0842579561991584,0.738478779638774,0.376249900262409,1.96273481833147,0.059008829201176
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfb_right,23,9,30,0.238168603869162,0.212774223998134,1.06834843652579,0.348850595985056,3.06248132817165,0.0046031311278809
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_left,23,9,30,0.0503103307035428,0.0186540083936607,-0.491020076224613,0.389494108476852,-1.26066111280806,0.217147971006191
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.atr_left,23,9,30,0.0327111908753043,0.000468230571147643,0.395930392971735,0.393086489860362,1.00723480247918,0.321877400868559
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_left,23,9,30,0.0393270726617659,0.00730464175049128,-0.434126676677724,0.391739903507319,-1.10820131620728,0.276580802364076
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.chip_left,23,9,30,0.111168180932158,0.0815404536298966,-0.72989588128077,0.376807755311659,-1.93705111158625,0.0622059926737823
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypdor_left,23,9,30,0.088139433033026,0.0577440808007935,-0.649913846273918,0.381657897591652,-1.70287016297847,0.098933223891952
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_right,23,9,30,0.112762125317977,0.0831875294952424,-0.735109930703892,0.376469738543993,-1.95264016052644,0.0602479420606062
