site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_left,23,9,30,0.0157185462514753,-0.0170908355401422,-0.274458605252975,0.3965241903257,-0.692161063433578,0.494159111036369
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_left,23,9,30,0.00150933182808858,-0.0317736904443087,-0.0850477891650006,0.399376071932171,-0.21295163917443,0.832805163764546
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfc_right,23,9,30,3.46202476840325e-05,-0.0332975590773932,0.0128805897677858,0.39967089051736,0.0322279907628806,0.974503699947371
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_right,23,9,30,0.0283737615598873,-0.00401377972144989,0.368747530687929,0.393966825592059,0.935986247404893,0.356754217539267
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cerped_left,23,9,30,0.0335268762765976,0.00131110548581748,0.400836451923057,0.392920715930101,1.0201458861089,0.315815984766891
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfb_left,23,9,30,0.0376632496314721,0.00558535795252113,0.424844067071322,0.392078990769091,1.08356753887261,0.28718874372765
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_right,23,9,30,0.0302241781207663,-0.0021016826085416,0.380581710206838,0.393591501147107,0.96694595563585,0.341302062051206
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cing_right,23,9,30,0.00210971361561163,-0.0311532959305347,0.100550079014345,0.399255983591612,0.251843637031611,0.802879248534697
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cing_left,23,9,30,0.0233440479814197,-0.00921115041919984,0.334471214344325,0.394985212304461,0.846794269570046,0.403814510840815
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.intcap_right,23,9,30,0.0265900577082687,-0.00585694036812234,0.356968836151823,0.394328280388197,0.905258014465522,0.372541872216784
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfd_right,23,9,30,0.00620194336398589,-0.0269246585238814,0.172398928130795,0.398436491843653,0.432688600717941,0.668335774082662
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.hipcom,23,9,30,0.0199878878445937,-0.0126791825605865,-0.309495340679943,0.395663289742611,-0.782218994542752,0.440216582218841
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_right,23,9,30,0.0161396098627467,-0.0166557364751618,0.278110367900137,0.396439367144898,0.701520562660186,0.48838497285793
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsub_left,23,9,30,0.0416927541054556,0.00974917924230401,0.446993240298465,0.391257271477836,1.14245350280675,0.262301810779117
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.chip_right,23,9,30,0.00104677924135167,-0.0322516614506034,0.0708268968063113,0.399468567060862,0.177302803390586,0.860462238528689
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_post,23,9,30,0.0131998561916452,-0.0196934819353001,0.251510003470939,0.397031201525985,0.633476670106188,0.531222643963279
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfa_left,23,9,30,0.0199416577343618,-0.0127269536744929,0.30913721663311,0.39567262194451,0.781295443475146,0.440751181912078
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfb_right,23,9,30,3.88426651083871e-08,-0.0333332931959129,0.000431444735000908,0.399677801287337,0.0010794813562606,0.999145845036358
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_right,23,9,30,0.0212002531822011,-0.011426405045059,0.318743389866052,0.395418478021183,0.806091287036355,0.426534146310726
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_right,23,9,30,0.00536112312524982,-0.0277935061039085,-0.160287093580073,0.398605008290689,-0.402120119532418,0.690446378617399
