site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_right,23,9,30,0.30922360213369,0.286197722204813,-1.21732623241222,0.332184054166864,-3.66461368973698,0.000951080532189056
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_left,23,9,30,0.114999530829306,0.0854995151902824,-0.742367067371808,0.375994754780912,-1.97440804142169,0.0576037055251213
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,23,9,30,0.160551983444144,0.132570382892282,-0.877159357823507,0.366190387293441,-2.39536423745774,0.0230486826581133
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,23,9,30,0.0643658985366228,0.0331780951545101,-0.555390672215695,0.386601074865585,-1.43659888273408,0.16117955019131
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cing_left,23,9,30,0.347981415353537,0.326247462531988,-1.29136403940715,0.322730509307018,-4.00136957048166,0.000380411013740635
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_left,23,9,30,0.00242114026568181,-0.0308314883921288,0.107716104402337,0.399193677816226,0.26983419424775,0.789135303133065
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_right,23,9,30,0.174693617641441,0.147183404896156,-0.914974904490229,0.363092800605853,-2.51994780112277,0.0172932583120387
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_right,23,9,30,0.0012630926751205,-0.0320281375690423,0.0778015540038138,0.399425314236823,0.194783733606039,0.846875391575936
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.chip_right,23,9,30,0.235375367702273,0.209887879959015,-1.06206517618142,0.349489536941317,-3.03890406985131,0.00488627809545266
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_post,23,9,30,0.318231434377814,0.295505815523741,-1.23492960331116,0.33001108093854,-3.74208526513432,0.000771680623911259
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_left,23,9,30,0.049660539840081,0.0179825578347502,-0.487838848031892,0.389627334331661,-1.25206525581347,0.220220060616298
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,23,9,30,0.0404301249158333,0.00844446241302765,-0.440172802675276,0.391514939484475,-1.12428098722075,0.269809576989473
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_temp,23,9,30,0.0794473015826453,0.0487622116354001,0.617035624720191,0.383472622631096,1.60907347305934,0.118074624221363
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_right,23,9,30,0.0557884770329383,0.0243147596007027,-0.517062350666425,0.388369113813319,-1.33136836137533,0.19309688843036
