site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fimbria_left,23,9,30,0.0721159871619277,0.0411865200673251,-0.587876960017142,0.384996589217877,-1.52696667056562,0.137244758441843
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_left,23,9,30,0.00423259198570733,-0.0289596549481026,0.142420945947389,0.398831075584489,0.357095910188719,0.723519782244163
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_right,23,9,30,0.00944456495121939,-0.0235739495504068,0.212746116997775,0.397785939968694,0.534825632636785,0.596712595195054
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_left,23,9,30,0.00231027316542251,-0.0309460510623969,0.105220977044222,0.399215859629467,0.263569130599879,0.793913948749129
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,23,9,30,0.000153884368133723,-0.0331743194862619,0.0271561323212731,0.399647055782904,0.0679502874557014,0.946276080849547
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,23,9,30,0.000227245288347934,-0.0330985132020405,-0.0330003166462006,0.399632394019896,-0.0825766808197177,0.934736661596576
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_right,23,9,30,0.000213370828193147,-0.0331128501442004,0.0319770344499085,0.399635166982284,0.0800155669266364,0.936756271848942
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_left,23,9,30,0.0146569871098345,-0.0181877799865044,0.26502876712837,0.39673796070771,0.668019683963707,0.50922819379364
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fornix_left,23,9,30,0.014552339979817,-0.0182959153541893,0.264080953588488,0.396759027679386,0.665595324025965,0.510755343976692
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.hipcom,23,9,30,0.0287711501107664,-0.00360314488554159,-0.371320797734707,0.39388625247105,-0.942710732870777,0.353359182872702
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_left,23,9,30,0.00165249302342415,-0.0316257572091285,0.0889898512163113,0.399347440114556,0.222838166161235,0.825171752849
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_left,23,9,30,0.0205856203146247,-0.0120615256748879,0.314088939003564,0.395542609158465,0.794071060186924,0.433390742458861
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.atr_right,23,9,30,8.10926575494522e-05,-0.0332495375871991,0.019713395270405,0.399661603253214,0.0493252169083532,0.960987060532647
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cerped_right,23,9,30,0.000758786909378479,-0.0325492535269756,0.0603018419737514,0.399526145129266,0.150933406258659,0.881038579564207
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fornix_right,23,9,30,0.00901285177281594,-0.0240200531680903,0.20782690863974,0.397872613929224,0.522345347138441,0.605266026643278
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_left,23,9,30,0.00981258064153108,-0.023193666670418,0.216851426200993,0.39771203947729,0.545247326397259,0.589614612584302
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_left,23,9,30,0.0557467724134753,0.0242716648272576,-0.516869049816115,0.388377690602981,-1.33084124634873,0.193268264340365
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_left,23,9,30,0.0509529884849129,0.0193180881010766,-0.494146238681486,0.389362300272206,-1.26911680544322,0.214157681549041
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.chip_left,23,9,30,0.00271915119861986,-0.0305235437614262,0.114153003287559,0.399134046958387,0.286001668255229,0.776842514293934
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,23,9,30,3.32292326036712e-05,-0.0332989964596431,0.0126191708201311,0.399671168501006,0.0315738832687387,0.975020999830832
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,23,9,30,0.0234719365202303,-0.00907899892909558,0.33538615013267,0.394959350722753,0.84916624842261,0.402514380934228
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_right,23,9,30,0.0422209696808763,0.010295002003572,-0.449815861001851,0.391149426800557,-1.14998471218829,0.259235206331012
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_temp,23,9,30,0.0116583935908909,-0.0212863266227461,0.236368729000052,0.397341178139218,0.594875995755051,0.556387065210448
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_right,23,9,30,0.0134263716743739,-0.0194594159364805,0.253658836468864,0.396985630557842,0.63896226196506,0.527696286071362
