site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fimbria_left,23,9,30,9.09613948326813e-05,-0.0332393398920063,0.0208784964006455,0.399659631010731,0.052240693781967,0.958683220037527
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_left,23,9,30,0.0124098705636657,-0.0205098004175455,0.243867703890358,0.39719009195431,0.613982344550555,0.543855232529934
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_right,23,9,30,0.130910137099145,0.101940475002449,-0.792058578819705,0.372599594700042,-2.12576339342866,0.0418682626228966
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_left,23,9,30,0.0366933057244827,0.00458308258196538,-0.419337868219798,0.392276530170484,-1.06898536100937,0.293602549212698
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cerped_left,23,9,30,0.0346074833622448,0.00242773280765274,-0.40724491731983,0.392700993493274,-1.03703561760102,0.308006261466579
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfb_left,23,9,30,0.062810067840878,0.0315704034355738,-0.548637254649313,0.386922373532979,-1.41795174478984,0.166509121332718
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalslat_right,23,9,30,0.130702208754821,0.101725615713315,-0.791429304110447,0.372644163959678,-2.1238204717895,0.0420432815444408
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cing_left,23,9,30,0.105686152832647,0.0758756912604017,-0.711671719121276,0.37796798345909,-1.88288889605991,0.0694446493927877
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_left,23,9,30,0.00846926631336172,-0.0245817581428596,0.201462193416308,0.39798172135685,0.50620966392491,0.616409480758087
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_right,23,9,30,0.0383221033323978,0.00626617344347769,-0.428543914320519,0.391944751416991,-1.09337837226092,0.282929845940198
