site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ifof_right,23,9,30,0.0396933826414294,0.00768316206281028,-0.436143815643584,0.391665210074319,-1.11356281953361,0.274309645173333
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_left,23,9,30,0.235564415613662,0.21008322946745,-1.06249160335131,0.349446329890057,-3.04050010679921,0.00486660009349692
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalslat_right,23,9,30,0.0279410416471217,-0.00446092363130757,0.365924897352105,0.394054543639956,0.928614840910063,0.360500594436166
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cing_right,23,9,30,0.168176439144035,0.140448987115502,-0.897745505912397,0.364523594938885,-2.46279121126003,0.0197464593019139
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfa_right,23,9,30,0.0302362920215224,-0.00208916491109368,-0.38065797145676,0.393589042876255,-0.967145753537757,0.341203824743569
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cing_left,23,9,30,0.231744065335086,0.206135534179589,-1.05384071620544,0.350318439721566,-3.00823649775054,0.00527938264563758
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_right,23,9,30,0.102907542793395,0.0730044608865078,-0.702254074240705,0.378554696471254,-1.85509275353563,0.0734340160276606
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_post,23,9,30,0.0203414068082721,-0.0123138796314521,-0.312220313904335,0.39559191965907,-0.789248461327049,0.436160382670385
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsmed_left,23,9,30,0.0354864851008277,0.00333603460418841,0.412384331433308,0.3925221732416,1.05060136610291,0.301831501830612
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_left,23,9,30,0.0181387823264013,-0.0145899249293855,0.29483207426993,0.396036386349481,0.744457035848611,0.462392106571744
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_left,23,9,30,0.0598672828315849,0.0285295255926377,0.535630670620019,0.387529367321244,1.38216794851577,0.177125349436434
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsmed_right,23,9,30,0.0073186190014059,-0.025770760365214,0.187277340249665,0.398212578456531,0.470294888663614,0.64154553771743
