site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_left,23,9,30,0.000423505153957133,-0.032895711340911,0.0450505412753854,0.39959316728108,0.112741020027743,0.910986918523321
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfc_left,23,9,30,0.105789942632534,0.0759829407202851,-0.712021084376363,0.377946050241939,-1.88392254376139,0.0692999729217472
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_ant,23,9,30,0.135908660010381,0.107105615344061,-0.807038454059001,0.371526556478853,-2.17222279265234,0.0378717634469635
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfa_right,23,9,30,6.34662638055832e-05,-0.0332677515274009,0.0174398252793318,0.399665125819737,0.0436360947019375,0.965483632128203
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ilf_left,23,9,30,0.0619779317698902,0.0307105294955531,-0.544990840306536,0.387094110666598,-1.40790269159102,0.169438452512441
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ilf_right,23,9,30,0.090357448419415,0.0600360300333955,-0.658040528655299,0.381193441446204,-1.72626403581019,0.0945865340194876
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fornix_left,23,9,30,0.086938408316211,0.0565030219267513,-0.645470659457641,0.381909158447411,-1.69011568636295,0.101372816522507
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsub_left,23,9,30,0.101666975301278,0.0717225411446538,-0.698008345045376,0.378816353116211,-1.84260351831022,0.075289673634202
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.atr_right,23,9,30,0.180259297147981,0.152934607052914,-0.929436021323318,0.361866421656189,-2.5684505820393,0.0154350488616125
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.chip_right,23,9,30,0.232969909310252,0.207402239620594,-1.05662426202065,0.350038840716774,-3.01859147932555,0.00514341026625321
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_post,23,9,30,0.149762804268168,0.12142156441044,-0.847174051535049,0.368536142859225,-2.29875432287968,0.0286610128281901
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_left,23,9,30,0.00987634720768227,-0.0231277745520617,-0.217554884296492,0.397699233245414,-0.547033703135762,0.588402067750847
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.atr_left,23,9,30,0.0968358031840687,0.0667303299568709,-0.68122196528265,0.379833611178079,-1.79347468269012,0.082984164909572
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_left,23,9,30,0.185185372513206,0.158024884930313,-0.942050106704281,0.360777499661468,-2.61116646018181,0.0139532032100542
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.opticrad_left,23,9,30,0.149775401120259,0.121434581157601,-0.847209679546554,0.368533412790192,-2.29886802700539,0.0286537363786338
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypdor_left,23,9,30,0.0744810222138086,0.0436303896209355,-0.597438873780284,0.384505627331907,-1.55378447365238,0.130723118732833
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_mid,23,9,30,0.0291777245411555,-0.00318301797413945,-0.373935220983413,0.393803799791599,-0.949547010926,0.349929777534594
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofa_left,23,9,30,0.000538889205279425,-0.0327764811545446,-0.0508183319103512,0.399570103508876,-0.127182518071506,0.89964460359956
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_right,23,9,30,0.0323739141639856,0.000119711302784986,-0.393883935740178,0.393155015083821,-1.00185402863601,0.324426940532846
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypdor_right,23,9,30,0.00361324937654102,-0.0295996423109077,0.131589013636398,0.398955087818632,0.3298341534028,0.743817394243079
