site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfc_right,23,9,30,0.0228346531081394,-0.00973752512158921,0.330801806501869,0.395088205181917,0.837285958333158,0.409052675956983
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cerped_left,23,9,30,0.165040437913764,0.13720845251089,-0.889335947268321,0.365210081290998,-2.43513526276319,0.021044644743152
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfb_left,23,9,30,0.133900567922394,0.10503058685314,0.801054146604548,0.371958007737819,2.15361446706421,0.0394296933412197
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalslat_right,23,9,30,0.190219910937882,0.163227241302478,-0.954769749035509,0.35966119509559,-2.65463653587025,0.0125814826174465
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ilf_left,23,9,30,0.0234856054270655,-0.00906487439203252,0.335483792157291,0.39495658650037,0.849419413738468,0.402375771752569
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.intcap_right,23,9,30,0.144364255999995,0.115843064533328,-0.831764732250892,0.369704294519488,-2.24981084769912,0.0319527063519995
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfd_right,23,9,30,0.0975907078766443,0.0675103981391991,-0.683872117793819,0.379674837104294,-1.80120474406357,0.081730796276156
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalsub_left,23,9,30,0.19721765317821,0.170458241617484,-0.972173002915629,0.358103811010298,-2.71477982927044,0.0108895577164373
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cerped_right,23,9,30,0.178890027358095,0.151519694936698,-0.925899242072111,0.362168520854185,-2.55654257274583,0.0158733562878874
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_post,23,9,30,0.0317768153630191,-0.000497290791547034,0.39023466766289,0.393276299631485,0.992265915918541,0.329004174516116
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfa_left,23,9,30,0.00579378318596235,-0.0273464240411723,0.166629458462223,0.398518303844526,0.418122472304886,0.678835490187619
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfb_right,23,9,30,0.0193510226153749,-0.0133372766307793,0.304524769817062,0.395791830636966,0.76940640570316,0.44766801940803
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ant_comm,23,9,30,0.148987891943935,0.120620821675399,-0.844979457796738,0.368704047862351,-2.29175530536132,0.0291121422457354
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypdor_left,23,9,30,0.083183855135016,0.0526233169728498,0.631379076032667,0.382693567307191,1.649829341202,0.10941107199563
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofa_left,23,9,30,0.0528039967214195,0.0212307966121335,0.503041784972433,0.388982411512085,1.29322501502566,0.205803375613647
Finland-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypdor_right,23,9,30,0.0401225453664341,0.00812663021198179,0.438495258588232,0.391577682356754,1.11981677798668,0.271677389705418
