site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.fimbria_left,23,9,30,0.00265663658906897,-0.0305881421912955,-0.11283315664483,0.39914655663313,-0.282686032911314,0.77935886228527
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofb_left,23,9,30,0.00957347241278217,-0.0234407451734586,0.214193066477316,0.397760055882689,0.538498180773808,0.594206642882939
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfc_right,23,9,30,0.152914830008383,0.124678657675329,-0.856042775603744,0.367852384240273,-2.32713667840357,0.026895712993939
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfc_left,23,9,30,0.0343912940760491,0.00220433721191737,-0.405970916615211,0.39274496161689,-1.03367568343556,0.309549089445094
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_ant,23,9,30,0.0300149793433754,-0.00231785467851231,-0.37926231161014,0.393633951380937,-0.963489836889376,0.343004388389945
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cerped_left,23,9,30,0.0241465958605664,-0.00838185094408139,-0.340172044377901,0.394822893275146,-0.861581357545143,0.395752512142097
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalslat_right,23,9,30,0.181494599838464,0.154211086499747,-0.93261525958687,0.361593662784931,-2.57918032192276,0.0150497188632426
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfa_right,23,9,30,0.0551573707187024,0.0236626164093258,-0.514129402276116,0.388498884130365,-1.32337420589243,0.195708575628021
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cing_left,23,9,30,0.123975495890034,0.0947746790863685,-0.770794470380809,0.374083164364616,-2.06048960179753,0.0481155412160935
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ilf_left,23,9,30,0.00279343478551877,-0.030446784054964,0.115701751084553,0.399119181707124,0.289892734770778,0.773892588681725
