site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_left,22,9,29,0.0122186028606373,-0.0218428246269269,0.239562950757668,0.399981865519701,0.59893453031027,0.55386682534942
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfc_right,22,9,29,0.0395034539023209,0.00638288334722847,0.430751118286233,0.394418960299344,1.09211564768416,0.28377246635962
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfc_left,22,9,29,0.00444086107909802,-0.0298887644009331,0.144425032168857,0.401553496545635,0.35966573174253,0.721703095350234
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cing_left,22,9,29,0.0130077103736633,-0.0210265065100037,-0.247177712288254,0.399822067128213,-0.618219284552371,0.541256203111304
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ilf_left,22,9,29,0.0493454308945786,0.0165642388564606,-0.481429115857929,0.392392998960971,-1.22690546756114,0.22972600922076
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ilf_right,22,9,29,0.00599116698370267,-0.0282849996720318,-0.167750796635774,0.401240720902388,-0.418080189514424,0.678968194878756
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_left,22,9,29,0.0551220949109134,0.0225400981837035,-0.508828860649677,0.391198991939487,-1.30069062327335,0.203605695887302
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypven_left,22,9,29,0.0553443626225498,0.0227700302991894,-0.509853698757025,0.391152977518827,-1.30346367805032,0.202670236565553
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfd_left,22,9,29,0.0170807459002287,-0.0168130214825222,0.283245028014639,0.398996238469638,0.709893980707772,0.48343945675414
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_mid,22,9,29,0.0118914466001884,-0.0221812621377362,-0.236334010109036,0.400048097652903,-0.590763989369321,0.559255001841406
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_left,22,9,29,0.051363998208195,0.0186524119395121,-0.491177303118841,0.391976184791645,-1.25307945272218,0.220186531353087
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.chip_right,22,9,29,0.00127509367077813,-0.0331636962026434,0.0773891228302966,0.402191437546559,0.192418623584789,0.84875544572704
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_right,22,9,29,2.10263581746388e-06,-0.0344805834801889,-0.00314261303987483,0.40244767580022,-0.00780874938245354,0.99382305402029
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_right,22,9,29,0.0152177132210751,-0.0187402966678534,0.267352085940179,0.399374189723991,0.669427551452304,0.508517882466996
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_right,22,9,29,0.0148155118367703,-0.01915636706541,-0.26379539446777,0.399455736912947,-0.660387046901416,0.514217249260338
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_left,22,9,29,0.00407668978205232,-0.0302654933289115,-0.138376617859542,0.401626933110793,-0.344540185061168,0.732926229960948
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypdor_left,22,9,29,0.0166856525086362,-0.0172217387841695,0.27995000304917,0.399076420508156,0.701494722972361,0.488586023350596
