site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_left,22,9,29,0.0118623934563065,-0.0222113171141656,-0.23604512830771,0.400053978873881,-0.590033197450398,0.559738234517807
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfc_right,22,9,29,7.70410985161836e-05,-0.0344030609325696,0.0190226103663973,0.402432596080925,0.0472690595932047,0.962622816664158
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfc_left,22,9,29,0.0121080547512886,-0.0219571847400464,0.238476762507488,0.400004246990973,0.596185576281817,0.555676672255949
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfa_right,22,9,29,0.00635472778349945,-0.0279089022929317,-0.172765632669198,0.401167336877239,-0.430657276372593,0.669901574986955
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_right,22,9,29,0.000710383999490791,-0.0337478786212166,-0.0577637612939152,0.402305127160574,-0.143581966507873,0.886823664801062
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ilf_right,22,9,29,0.00777787802031202,-0.026436677910022,-0.191134657684398,0.40087994761531,-0.476787773550135,0.637086496373918
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_left,22,9,29,0.00232761828472277,-0.0320748776364939,-0.104559803698436,0.401979453258593,-0.260112308852693,0.796615094044962
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfd_right,22,9,29,0.00519599114522851,-0.029107595367005,0.156222319003595,0.401401178804123,0.389192476885648,0.699977014015738
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.hipcom,22,9,29,0.0762148465989258,0.0443601861368198,-0.598313316694814,0.386807930241574,-1.54679692404741,0.132756798576112
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_left,22,9,29,0.0603421948924405,0.0279402016128695,-0.532377179130016,0.390116880633947,-1.36466070954144,0.182855743220191
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_left,22,9,29,0.0256391375908881,-0.00795951283701246,-0.347024858361528,0.397255387526621,-0.873556078174704,0.389536593782747
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_post,22,9,29,0.00102581231423271,-0.0334215734680352,-0.0694133226025768,0.402241627829762,-0.172566233328675,0.86419112516685
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_right,22,9,29,0.00181657690159556,-0.0326035411362806,-0.0923710271622518,0.402082393782697,-0.229731588824984,0.819913039851298
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_right,22,9,29,0.0139899151221149,-0.020010432632295,-0.256340023000218,0.399623076271747,-0.641454506060366,0.526265206157991
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ant_comm,22,9,29,0.0146287312504763,-0.0193495883615764,-0.262127273263582,0.399493601415294,-0.656148865300816,0.516901098939115
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_right,22,9,29,0.0190054719092903,-0.0148219256110791,-0.298777719441302,0.398605395197459,-0.749557640315668,0.459558910008028
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_left,22,9,29,0.0769444724829846,0.045114971534122,-0.601170404795426,0.386655145351094,-1.55479737441369,0.130841189981054
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_temp,22,9,29,0.0281657932671471,-0.00534573110295145,-0.363722253191777,0.396739983447111,-0.916777406783011,0.366820851225203
