site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofb_left,22,9,29,0.014222397159467,-0.0197699339729651,0.258461154675678,0.399575961812511,0.646838597355245,0.522823586746345
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfc_left,22,9,29,0.168311576350598,0.139632665190273,0.889131246649199,0.367020403604662,2.42256626039497,0.0218876097400862
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cing_left,22,9,29,0.127620358412504,0.0975383018060387,0.774227974294357,0.375891617761151,2.05971066581835,0.0485022930021118
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_left,22,9,29,0.1572624838506,0.12820256950062,0.859451639777627,0.369450317496667,2.32629828443816,0.0271962205193259
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_right,22,9,29,0.169433229585106,0.140792996122523,0.892088978197216,0.366772829811435,2.43226571241893,0.0214090154644425
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypven_left,22,9,29,0.117039979883001,0.0865930826375874,0.741439976562095,0.378164188849842,1.96062979632506,0.059590748203391
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_left,22,9,29,0.169241295695394,0.140594443822821,0.891583556015448,0.366815205735876,2.43060686163983,0.0214901816935838
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.hipcom,22,9,29,0.0796012827314688,0.0478633959291056,0.61146121122245,0.386098293905262,1.58369311875925,0.124109600222852
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ifof_left,22,9,29,0.162362593222702,0.13347854471314,0.87327669171257,0.368330694587371,2.37090393102012,0.0246056688817113
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_left,22,9,29,0.148033402520168,0.11865524398638,0.833851549004105,0.371467791855459,2.24474790893463,0.0325803314749582
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.atr_left,22,9,29,0.138104872559335,0.10838435092345,0.805403253913877,0.373626002175818,2.15564026385636,0.0395452739732022
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypdor_left,22,9,29,0.0160599267759064,-0.0178690412663038,-0.274650667943817,0.399203375165735,-0.687996858317622,0.496921448866492
