site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_left,22,9,29,0.0335696274429241,0.000244442182335214,-0.39708377307311,0.395635419692028,-1.00366082840159,0.323843659703848
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfc_right,22,9,29,0.0010326092909227,-0.0334145421128387,0.0696429073795263,0.402240259410211,0.173137585684837,0.863746091611114
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfc_left,22,9,29,0.0336757399108416,0.00035421370087052,0.397710862165288,0.395613699036087,1.00530103768982,0.323066881215258
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_ant,22,9,29,0.00846182776192421,-0.0257291436945613,-0.199361351767927,0.400741758294625,-0.497480853046905,0.622601207212949
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cing_left,22,9,29,0.00021179948631446,-0.0342636557038127,0.0315407001991516,0.402405477494111,0.0783803948086496,0.938063802184211
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_left,22,9,29,0.00211936276786426,-0.0322903143780715,-0.0997726550591104,0.402021405943727,-0.248177469119831,0.805746087739878
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_right,22,9,29,0.0207514399606533,-0.0130157517648415,0.31220007153054,0.398250519505518,0.783928849404087,0.439438228280137
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypven_left,22,9,29,0.00169288079593041,-0.0327315026248995,0.0891706779107745,0.402107306280929,0.221758412537961,0.826056168235893
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.hipcom,22,9,29,0.0755627507857254,0.0436856042610951,-0.595748227576235,0.386944429152366,-1.53962218523541,0.13449407781298
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.atr_right,22,9,29,0.00396456743078421,-0.0303814819681543,-0.136460445126001,0.401649540317723,-0.339750034365917,0.736493221692594
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.opticrad_left,22,9,29,0.0530519651397528,0.0203985846273304,-0.499182804818147,0.391627295742353,-1.27463741737387,0.212556515401037
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_left,22,9,29,0.024483728749407,-0.00915476336268251,-0.33911551424963,0.397490852853544,-0.853140422767356,0.400573262242837
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfa_left,22,9,29,0.00870197708744912,-0.0254807133578112,-0.202170528721357,0.400693225775385,-0.504551900846677,0.617686073829117
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ant_comm,22,9,29,0.00529630758042735,-0.0290038197443856,-0.157723163204071,0.401380939565954,-0.392951303005644,0.697229220409757
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalslat_right,22,9,29,0.0102673896106933,-0.0238613210923864,-0.219603319347426,0.400376722561402,-0.548491725349363,0.587552439424913
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalslat_left,22,9,29,0.0392027963979609,0.00607185834271817,-0.429108781916305,0.394480686571162,-1.08778147200597,0.28564988424335
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsmed_left,22,9,29,0.07164763831573,0.039635487912824,-0.580109288003932,0.387762943532882,-1.49604106756204,0.145447536290312
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_temp,22,9,29,0.0257843926161751,-0.00780924901774993,-0.34800648093526,0.397225775555169,-0.876092394681289,0.388179179230176
