site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_left,22,9,29,0.00600643638613565,-0.0282692037384804,0.167964429842914,0.401237639073854,0.418615836317384,0.678581045084945
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_left,22,9,29,7.01378214720737e-06,-0.0344755029839858,0.00573964478052232,0.402446687557216,0.0142618760645317,0.988718721715301
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,22,9,29,0.0146440414539269,-0.0193337502200757,-0.262264406563801,0.399490497837857,-0.656497233309031,0.516680205421174
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cing_right,22,9,29,0.00167778590726169,-0.0327471180269707,0.0887722341974725,0.402110346298354,0.220765854484147,0.826821702463169
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_right,22,9,29,0.0119651362306859,-0.0221050314854974,-0.237065143569538,0.40003318029082,-0.592613701186472,0.558032841850791
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_left,22,9,29,0.0594124618603667,0.0269784088210688,-0.528259910442302,0.390309831128412,-1.35343736773185,0.186372109069626
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_right,22,9,29,0.017698979252381,-0.0161734697389162,-0.288325457106599,0.398870739054991,-0.722854370791156,0.475559191851437
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_right,22,9,29,0.00166490226467068,-0.0327604459330995,-0.0884307383525341,0.402112940966286,-0.219915176417931,0.827477946251426
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_left,22,9,29,0.0513276878825299,0.0186148495336516,-0.491003660474911,0.391983686429103,-1.25261248739166,0.220354064306914
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_left,22,9,29,0.00118840164081388,-0.0332533776129511,0.074712023762791,0.402208892821447,0.185754281161451,0.853930641760024
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,22,9,29,0.0272135264547166,-0.00633083470201723,-0.357520781361709,0.3969343117663,-0.900705156404327,0.375164560162256
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.hipcom,22,9,29,0.0175989715430765,-0.0162769259899209,-0.2875097146805,0.398891042980585,-0.720772551151251,0.476819975913685
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_left,22,9,29,0.00084116106037936,-0.0336125920065042,0.0628562487814277,0.402278801457433,0.156250462499399,0.876918257772861
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_left,22,9,29,0.0747619997599671,0.0428572411310004,-0.592583198679663,0.387111979237777,-1.53077980135479,0.136660551089121
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_left,22,9,29,0.0116079519183124,-0.0224745324982976,-0.233499889516451,0.400105481719832,-0.583595827062314,0.564004100228848
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.chip_left,22,9,29,0.00279744264821452,-0.0315888524328816,0.114627672695883,0.40188479193292,0.285225206319864,0.777498829005093
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_post,22,9,29,0.00366150979783379,-0.0306949898643101,-0.131141147492246,0.401710639399853,-0.326456744307713,0.746423216122829
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fornix_right,22,9,29,0.000975960709493011,-0.033473144093628,-0.0677056709435908,0.402251664195429,-0.168316695666166,0.86750255678924
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_right,22,9,29,2.55386998342939e-05,-0.0344563392760335,-0.0109523741363087,0.402442959867927,-0.0272147241435234,0.978474890657878
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.atr_left,22,9,29,0.000996640479537228,-0.033451751228065,0.068419223403658,0.40224750087471,0.170092351735875,0.866118584133417
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ant_comm,22,9,29,0.00895158309884795,-0.0252225002425712,-0.205049541709303,0.40064277589439,-0.511801420234154,0.612665520147506
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_right,22,9,29,0.00311009771634689,-0.0312654161555033,0.120863703105175,0.401821785091154,0.300789323997844,0.765721138603745
