site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_left,22,9,29,0.0106548683738794,-0.0234604809925387,0.223708725527888,0.400298341459966,0.558854989785816,0.58055094509211
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_right,22,9,29,0.00947540266334704,-0.0246806179344687,-0.2109636916067,0.400536881843623,-0.526702286779833,0.602406198209783
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fornix_left,22,9,29,5.11884317189553e-05,-0.0344298050706358,0.0155058218943509,0.402437798426003,0.0385297354150047,0.969529346801673
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_right,22,9,29,0.0117810946195902,-0.0222954193590448,-0.235234870768234,0.400070435718527,-0.587983639295295,0.561094631155278
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_right,22,9,29,0.00971217914958947,-0.0244356767418041,0.213583265161769,0.400489006513741,0.533306187405774,0.597885562598388
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_left,22,9,29,0.0104803629049818,-0.0236410038913983,-0.221869211424084,0.400333643180016,-0.55421075696183,0.583683535139694
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.hipcom,22,9,29,0.0777177566555029,0.0459149206781063,-0.604183703791622,0.386493152414799,-1.56324555821157,0.128842926545904
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_left,22,9,29,0.0597933835019663,0.0273724656916892,-0.529950667881477,0.390230788768411,-1.35804422186683,0.18492243089967
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_post,22,9,29,0.00144528483668746,-0.0329876363758406,0.0823921056983666,0.402157167676257,0.20487538783517,0.839100693380758
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_right,22,9,29,0.01644957272867,-0.0174659592462036,-0.277962487819242,0.399124323917482,-0.696430839120468,0.491703831034691
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,22,9,29,0.00133412585648852,-0.0331026284243223,0.0791602723584899,0.40217955109498,0.196828188163637,0.845334950353727
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_left,22,9,29,0.0783245490722832,0.0465426369713274,-0.606537742866287,0.386365989768696,-1.56985283106673,0.127297543416318
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_temp,22,9,29,0.0280611756665215,-0.00545395620704681,-0.363046128979494,0.396761337330256,-0.915023957279641,0.367725174355628
