site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_right,22,9,29,0.00961269239251077,-0.0245385940767131,-0.21248652868809,0.400509123065225,-0.530541045012563,0.599776440485156
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_left,22,9,29,0.075005171060778,0.0431087976490806,-0.593546136023564,0.387061105457488,-1.53346881837177,0.1359987359836
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cing_right,22,9,29,0.0226254600788258,-0.0110771102632836,-0.325992485143818,0.397869264466203,-0.819345735542507,0.419272176592598
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsub_right,22,9,29,0.0364291068996381,0.00320252437893587,0.413650107210514,0.395049681981395,1.0470837620621,0.303710034824647
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cing_left,22,9,29,0.0310033743913669,-0.0024103023537585,-0.381604389414032,0.396160355331265,-0.963257388778689,0.3433823497812
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypven_right,22,9,29,0.000748488278065061,-0.0337084604020017,-0.0592927209749107,0.402297456865332,-0.147385274162344,0.88384785409601
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_right,22,9,29,0.00221016386854705,-0.0321963822049514,-0.10188754936646,0.402003114769791,-0.253449651565029,0.801708974619302
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_left,22,9,29,0.000876284753829487,-0.0335762571512108,-0.064155147374577,0.402271730689037,-0.1594821173854,0.874394627250338
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_mid,22,9,29,0.12117087138407,0.0908664186731754,-0.754410969595743,0.377278539101181,-1.99961273014106,0.0549877560501562
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.hipcom,22,9,29,0.0650251719899406,0.0327846606792488,-0.552649312292156,0.389143552742594,-1.42016823456848,0.166220955107172
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_right,22,9,29,0.0100930209716562,-0.0240417024431143,0.217730598802164,0.400411989697635,0.543766431586077,0.590758477160822
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ifof_left,22,9,29,0.0438885233123209,0.0109191620472285,0.454029805236087,0.393517586380311,1.15377259098478,0.258013900017625
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.opticrad_left,22,9,29,0.234730843447836,0.208342251842589,-1.05001126594843,0.352060243588444,-2.982476110469,0.00574470694231881
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofa_left,22,9,29,0.197994573520192,0.170339213986406,-0.964351861090536,0.360411411707506,-2.6756973552024,0.0121336823482922
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_post,22,9,29,0.0474918401623547,0.0146467312024358,-0.472300470141528,0.392775357524383,-1.20246970970476,0.238908134079779
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fornix_right,22,9,29,0.0200631841693557,-0.0137277405144596,0.30697910037686,0.398390448269616,0.770548344495215,0.447207142264809
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ifof_right,22,9,29,0.0034185938966451,-0.0309462821758844,0.126716344402715,0.40175960667144,0.315403396206389,0.754713953542411
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsmed_right,22,9,29,0.123995515486749,0.0937884642966365,0.763153443811527,0.37667174578772,2.02604376979635,0.0520470511700714
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsmed_left,22,9,29,0.0939677426305791,0.0627252509971508,0.664352044949421,0.383073147662482,1.73426941826465,0.0934900577263041
