site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_left,22,9,29,0.00691491450550707,-0.0273293987874066,0.180219710047217,0.401054238015697,0.449364931134734,0.65650899975756
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfc_left,22,9,29,0.000323179387194036,-0.0341484351166959,0.0389610547641572,0.40238306218129,0.0968257822606948,0.923530822579458
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfb_left,22,9,29,0.00908027992143054,-0.0250893655985203,-0.206518279169089,0.400616761460881,-0.515500845286661,0.610110868073125
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cing_right,22,9,29,0.00449419578853633,-0.0298335905635831,0.145289715503211,0.401542740265535,0.36182876922923,0.720103196360311
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ilf_left,22,9,29,0.0592280562559975,0.0267876444027559,-0.527439461402762,0.390348090083571,-1.35120287456726,0.187078431598038
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fornix_left,22,9,29,0.0298669701492616,-0.00358589294903977,-0.374545396088886,0.396392588540196,-0.944884962325437,0.352524159363635
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_right,22,9,29,0.00143804803805926,-0.0329951227192491,-0.082185570859799,0.402158624945009,-0.204361079837681,0.839498820516222
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypven_left,22,9,29,0.043653176208803,0.0106756995263478,-0.452810827862173,0.393566015631452,-1.15053335368824,0.259323292585156
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_left,22,9,29,0.00384366432212249,-0.0305065541495286,0.134363591967217,0.401673916561224,0.334509128990797,0.740402723796896
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_mid,22,9,29,0.0221145249252052,-0.0116056638704776,-0.322290635043232,0.397973246524711,-0.809829901526359,0.424633421529533
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.hipcom,22,9,29,0.0178394277689475,-0.0160281781700544,-0.289467185777639,0.398842222945869,-0.725768660197559,0.4737974870801
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsub_left,22,9,29,0.00270658490913592,-0.0316828431974456,0.112750819511376,0.401903099904357,0.280542298723768,0.781053184267878
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ifof_left,22,9,29,0.0761897895644954,0.0443342650667193,-0.598214955348773,0.386813176155014,-1.54652166013352,0.132823111654897
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofa_left,22,9,29,0.00739728608346355,-0.026830393706762,-0.186399647461694,0.40095682407495,-0.464887080776684,0.645484143824397
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_post,22,9,29,0.00162660218696843,-0.0328000667031363,-0.087407672324661,0.402120654212676,-0.217366781360184,0.829444627318133
