site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_left,22,9,29,0.00389175204987713,-0.0304568082242651,-0.135201484630875,0.401664221386699,-0.336603255734621,0.738839737028435
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfc_left,22,9,29,0.0124138291613852,-0.021640866384774,0.241469210033878,0.399942337118538,0.603760061446831,0.550697171576339
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_ant,22,9,29,0.00538739200015933,-0.0289095944825939,-0.159073621227547,0.401362562039449,-0.396333978982106,0.694759968398681
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfa_right,22,9,29,0.00603662925878139,-0.0282379697322952,-0.168386058509417,0.401231545166721,-0.419673030542622,0.677817198124739
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ilf_right,22,9,29,0.0101841034556164,-0.023947479183845,-0.218710825799353,0.400393568089159,-0.546239608301228,0.589079408837502
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fornix_left,22,9,29,2.87192942724345e-06,-0.0344797876592133,-0.00367278715577125,0.402447520999653,-0.00912612692121519,0.992780998159157
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypven_right,22,9,29,0.0125528527475947,-0.0214970488817987,-0.242817563133261,0.399914185967514,-0.607174167992594,0.548460300774407
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_right,22,9,29,0.00635885275270685,-0.0279046350834067,0.172821696227518,0.401166504183382,0.430797921624377,0.669800468505797
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypven_left,22,9,29,0.0110241063780277,-0.0230785106434197,-0.227551958009081,0.400223635905104,-0.568562017819046,0.574030329465437
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.hipcom,22,9,29,0.0773918997062612,0.0455778272823391,-0.602915755069667,0.386561423466389,-1.55968940113883,0.129681009535461
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_right,22,9,29,0.00505509344632498,-0.0292533516072502,-0.154089651608207,0.401429603749888,-0.383852237525096,0.703887970099342
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.opticrad_left,22,9,29,0.060120470278104,0.0277108313221764,-0.531398181276359,0.390162904522867,-1.36199053040732,0.183687606784606
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_post,22,9,29,0.00141894330465713,-0.0330148862365618,0.0816378203021891,0.402162472025579,0.202997111816531,0.840554880710917
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ifof_right,22,9,29,0.0178829838162579,-0.015983120190078,-0.289820346208411,0.39883337908478,-0.726670237264178,0.473253244190133
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalslat_right,22,9,29,0.000510981899399349,-0.0339541566557939,0.0489904735349512,0.402345263915961,0.12176227217921,0.903927126128691
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_left,22,9,29,0.0777421162167763,0.0459401202242513,-0.604278382906831,0.38648804830168,-1.56351117599153,0.12878050626633
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_temp,22,9,29,0.0280605459539572,-0.00545460763383732,-0.363042055451104,0.396761465859723,-0.915013393915273,0.367730626724281
