site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_left,22,7,27,0.0204010629864619,-0.0158803791251505,0.327977501059668,0.437381011608615,0.749866803438544,0.459819552659613
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_left,22,7,27,0.0234971987067787,-0.0126695717114886,0.351986250376238,0.436689267959341,0.806033663298112,0.427265974055003
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_right,22,7,27,0.10640614347125,0.0733100747109262,0.749033093171852,0.417739804630368,1.79306133834822,0.0841738181088404
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfc_left,22,7,27,0.00455668567081153,-0.0323115852302693,-0.155003744502297,0.440904000297601,-0.351558943438193,0.727897899315311
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypdor_left,22,7,27,0.0113636363636363,-0.0252525252525253,-0.244780218506114,0.439393939393939,-0.557086014531155,0.582057766986335
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_right,22,7,27,0.103836132965302,0.0706448786306832,0.739932165931906,0.418340091248938,1.76873357684382,0.088236006498943
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ilf_left,22,7,27,0.139796924217223,0.107937551040083,0.858551719445916,0.40986069077566,2.0947403319433,0.0457112541250652
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_left,22,7,27,0.153615036527034,0.122267445287294,0.899983440179365,0.406555407372822,2.21367967036793,0.0354859203249807
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.intcap_right,22,7,27,0.00875327191233107,-0.0279595698686936,-0.214833925481395,0.43997363798088,-0.488288176690103,0.62928798548386
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ilf_right,22,7,27,0.0573000383089674,0.0223852249130032,0.54966123632653,0.42906443433951,1.28106921090457,0.2110638025888
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypven_right,22,7,27,0.0128422526320632,-0.023719145418601,0.260218553712707,0.439065235051439,0.592664900199218,0.558337051055718
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypven_left,22,7,27,0.00250109630834426,-0.0344433075320874,-0.114837270590711,0.441358998666725,-0.260190164781088,0.796691091830229
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsub_left,22,7,27,0.000275256585610869,-0.03675158576307,0.0380966259129099,0.441851153076309,0.0862204967615655,0.931927363823989
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_left,22,7,27,0.121264426823621,0.0887186648541259,0.799621316952311,0.41425225014265,1.93027633930041,0.0641387804963596
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_left,22,7,27,0.0313272848351055,-0.00454948239322395,-0.406423706408172,0.434934948034876,-0.934447112710709,0.358355834536618
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_left,22,7,27,0.0120858360018831,-0.0245035774795286,0.252438739302901,0.43923342126543,0.574725708657657,0.570235126129944
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.chip_left,22,7,27,0.00558837542630389,-0.0312416847430923,-0.171656574358547,0.440675461889315,-0.389530593835656,0.699939300381616
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_post,22,7,27,0.0252424242517004,-0.0108597081834216,0.364823818824502,0.436298863503311,0.836178705337685,0.410393863239393
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.intcap_left,22,7,27,0.0308624935082161,-0.0050314882137017,-0.403397460608194,0.435039281389544,-0.927266750073042,0.362003424118508
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_right,22,7,27,0.0270239633362237,-0.00901218616984201,0.377478460975045,0.435899975114372,0.86597495417613,0.394134059683893
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfa_left,22,7,27,0.151272811150649,0.119838470822896,0.893095894613871,0.407117554947386,2.19370519340364,0.0370446953459235
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_right,22,7,27,0.0757979541149076,0.041568248711756,0.632188215548663,0.424833969000382,1.48808301990582,0.148316429094758
UCLA-P1,30d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_left,22,7,27,0.0957634011457888,0.0622731567437811,0.710587290169563,0.420220091176955,1.69098837749367,0.102352554933572
