site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_left,22,7,27,0.00804646475367629,-0.0286925550702615,0.205977703054839,0.440130471336563,0.467992371510515,0.64354585280054
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfc_right,22,7,27,0.00060631053469212,-0.0364082705566156,0.0565412247127084,0.441777988596889,0.127985608545791,0.899108883780711
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_right,22,7,27,0.0111049045005828,-0.0255208397771733,0.241977546109664,0.439451431602242,0.550635471199657,0.586411135256042
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_ant,22,7,27,0.0317070587066847,-0.00415564282269743,0.408879778395436,0.434849680266239,0.940278438620667,0.355411578440649
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypdor_left,22,7,27,0.0393925180092446,0.00381446312069811,0.455747741682549,0.433120514777847,1.05224233471441,0.302014974958565
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfb_left,22,7,27,0.116762568914105,0.0840500714664796,0.784638248842803,0.415312024207243,1.88927409539981,0.0696394055325298
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_right,22,7,27,0.0122909825365736,-0.0242908329250349,0.254572187854852,0.439187814118628,0.579643104091432,0.566961014283837
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cing_left,22,7,27,0.000521318409096355,-0.0364964105387149,0.0524287115368779,0.441796773412335,0.118671558264065,0.906414091256677
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ilf_left,22,7,27,9.04992019550934e-05,-0.0369431860127871,-0.0218443953981032,0.441891980060024,-0.0494337901202371,0.960937480863558
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_left,22,7,27,0.000484289185472267,-0.0365348112150656,0.0505324133218124,0.441804957298745,0.114377198551086,0.909785108479021
