site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_left,22,7,27,0.186322858096379,0.156186667655504,0.991175875118675,0.398622519727252,2.4865024580068,0.0193808727251326
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfc_right,22,7,27,0.212904638400667,0.183752958341433,1.05952257804416,0.392057213291818,2.70246928795958,0.0117529069961335
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_ant,22,7,27,0.0582507029625007,0.0233710993685194,0.554202192494682,0.428848035009958,1.29230437649508,0.207203082375927
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfa_right,22,7,27,0.090568556606771,0.05688591055517,0.691045077018905,0.421425445902234,1.63978014080151,0.112651977719625
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsub_right,22,7,27,0.00250803997552638,-0.0344361066920467,0.11499656855771,0.441357462496953,0.260551997709803,0.796414919195596
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cing_left,22,7,27,0.111389120688898,0.0784776066403384,0.766370964051653,0.416573448158408,1.83970189996418,0.0768318259898323
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_left,22,7,27,0.0782409923528488,0.0441017698473988,-0.642295425971656,0.424272093796176,-1.51387620200215,0.141676564633098
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalslat_left,22,7,27,0.0201892234603357,-0.0161000645596518,0.326270239455727,0.437428301154422,0.745882784892206,0.462183160544611
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_right,22,7,27,0.0119974310648142,-0.0245952566735259,0.25151378089105,0.439253073546833,0.572594242449242,0.571657256398453
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_left,22,7,27,0.304304631980561,0.27853813686873,1.2666946483905,0.368591510345458,3.43658118225054,0.00192204534496638
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_right,22,7,27,0.0277441850796067,-0.00826528954707451,0.382475517293376,0.435738613093541,0.877763654173261,0.387816181552834
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_mid,22,7,27,0.12907100641608,0.0968143770240827,0.824958311460901,0.412408061901606,2.00034477419533,0.0556130407518179
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsub_left,22,7,27,0.0169705133563642,-0.0194379861489555,-0.299133563155799,0.438146195123017,-0.682725461239739,0.500596704575513
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ifof_left,22,7,27,0.0559356857049039,0.0209703407310116,-0.543077909268042,0.429374810677292,-1.26481082672595,0.216747596605224
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.opticrad_left,22,7,27,2.04881285767497e-05,-0.0370157900888832,-0.010393667029195,0.44190744985519,-0.0235200086185488,0.981408446177989
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_left,22,7,27,0.00300121074522077,-0.0339246703382896,-0.125795730243628,0.441248343066021,-0.285090544180936,0.777750258803581
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cerped_right,22,7,27,0.00354887245368904,-0.0333567248628408,-0.136792677340553,0.441127135287729,-0.310098079210949,0.758867329406026
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.chip_right,22,7,27,0.126969359608721,0.0946348914460806,0.818214400514692,0.412905354930502,1.98160278316664,0.0577899997986754
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsmed_right,22,7,27,0.0393881485174937,0.00380993179591949,-0.455722464785773,0.433121499839071,-1.05218158173884,0.302042336756141
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.intcap_left,22,7,27,0.0461783025442976,0.0108515730089013,-0.49344259568218,0.431588009886216,-1.14331859175669,0.262942780858381
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfa_left,22,7,27,0.00135528680161974,-0.0356315544279497,0.084534357992876,0.441612416586293,0.191422058841404,0.849627198867038
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfb_right,22,7,27,0.131213971685047,0.0990367113770856,0.831778508418323,0.411900373861729,2.01936818027153,0.0534775026982964
UCLA-P1,2d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_right,22,7,27,0.259553174181766,0.232129217669979,1.16985174284228,0.380261809055002,3.07643764108078,0.0047599421671897
