site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_left,22,7,27,4.99226415875685e-05,-0.0369852654087239,0.0162243173608433,0.441900946008787,0.0367148283057098,0.970982495328815
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypdor_left,22,7,27,0.0475457364353254,0.0122696525995968,0.500695217876547,0.431278528697709,1.16095558800121,0.255821780043846
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfb_left,22,7,27,0.0634113319021603,0.0287228627133514,0.578230627968185,0.427671413050945,1.35204414025051,0.187578960254601
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalslat_right,22,7,27,0.0113456095617837,-0.0252712197137057,0.244585986847432,0.439397945331646,0.556638895211095,0.582359005667295
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalslat_left,22,7,27,0.000373680056459655,-0.0366495169784862,-0.0443882081747971,0.44182940229201,-0.100464586432074,0.920717794158307
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_right,22,7,27,0.0640013270718852,0.0293347095560291,-0.580914402251026,0.427536688050347,-1.35874749112202,0.185470412722253
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_right,22,7,27,0.00336419796014234,-0.0335482391524449,0.133185953971491,0.441168010928228,0.301893951221133,0.765046101737335
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_left,22,7,27,0.042024628845232,0.0065440595432037,-0.470727529085028,0.432526722192624,-1.08832010817448,0.286073394625533
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypven_left,22,7,27,0.00100981934933777,-0.0359898169710571,-0.0729691854400266,0.441688794863008,-0.165204973023276,0.870013379433127
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_mid,22,7,27,0.0774096987826803,0.0432396876264832,0.638874189449724,0.424463366773477,1.50513386892742,0.143899547543433
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsub_left,22,7,27,0.0404322372042055,0.00489269043399099,0.461723033651119,0.432886056042092,1.0666156306181,0.295590488632682
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ifof_left,22,7,27,0.000784247956251991,-0.036223742860183,0.0643049421701825,0.441738658582943,0.14557236710155,0.88534032907211
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_left,22,7,27,0.0382786042901329,0.0026592933379157,-0.449257877841356,0.433371563780446,-1.0366574906815,0.309091201700414
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.chip_right,22,7,27,0.0617438121740189,0.026993582995279,-0.570577148483971,0.428051960776102,-1.3329623521627,0.19368350928019
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsmed_right,22,7,27,0.015612700891847,-0.0208460879640104,0.286917259490214,0.438448686086394,0.654391878902059,0.518395248704361
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_right,22,7,27,0.0581438409252833,0.0232602794780716,-0.553693611835875,0.428872365410236,-1.29104520713579,0.207633057354886
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfa_left,22,7,27,0.117225376752696,0.0845300203361297,0.786191733014073,0.415203200215473,1.89351077401637,0.0690526761633791
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfb_right,22,7,27,0.00789103925387629,-0.0288537370700541,0.203978670169395,0.440164951186997,0.463414157849969,0.646781577457613
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_right,22,7,27,0.0118470729320756,-0.0247511836259955,-0.249932760059469,0.439286495909005,-0.568951612187143,0.57409176343742
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.opticrad_right,22,7,27,0.0791076563720316,0.0450005325339589,0.645842935421878,0.424072590549417,1.52295373437161,0.139397918700309
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.atr_left,22,7,27,0.0963313928046022,0.0628621851306986,0.712691491502901,0.420088090879478,1.69652867333335,0.101287201114264
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ant_comm,22,7,27,0.0334762880264274,-0.00232088649111239,0.420132522981281,0.434452227943659,0.967039632803459,0.342107146153937
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_left,22,7,27,0.0744808768601462,0.0402023908179295,-0.626671645055953,0.425136575964239,-1.47404782483045,0.152033642079851
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_temp,22,7,27,0.0113636363636364,-0.0252525252525253,-0.244780218506114,0.439393939393939,-0.557086014531155,0.582057766986335
