site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_left,22,7,27,0.0199267852205639,-0.01637222273423,-0.324142721482754,0.437486878907455,-0.740919870082144,0.465137516377877
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_left,22,7,27,4.11242090590058e-05,-0.0369943897091241,-0.0147253773695194,0.441902890119395,-0.03332265458943,0.973662413025809
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_ant,22,7,27,0.0589853648139102,0.0241329709181292,0.55768606020419,0.428680729464386,1.30093568913394,0.204274058961027
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,22,7,27,0.0240630042062601,-0.0120828104527673,0.356198903061335,0.436562736325032,0.815916873849114,0.421687835377938
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cerped_left,22,7,27,0.0925886024454451,0.0589807729063876,0.69870913065295,0.420957146735577,1.65981059134231,0.108524749033048
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,22,7,27,0.0156844380275808,-0.0207716938973235,0.287575666817319,0.438432709841073,0.655917454063959,0.51742818314578
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_right,22,7,27,0.0439288698694433,0.00851882801275605,0.481274298317187,0.432096625103887,1.11381175032662,0.275177453178046
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_right,22,7,27,0.0801536701635138,0.0460852875769774,0.650098794553832,0.423831676496387,1.53386080041937,0.136699528767526
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_left,22,7,27,0.0352089509679805,-0.000524050848020208,0.430867956586456,0.434062637428793,0.992640046465963,0.329698605489829
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.intcap_right,22,7,27,0.0787622738378817,0.0446423580540996,0.644431524156766,0.42415210773531,1.51934061485065,0.140301291436878
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_right,22,7,27,0.0198447713729995,-0.0164572741317042,-0.323474987038337,0.437505183270367,-0.739362639364291,0.466066796130578
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_right,22,7,27,0.0373690622736259,0.00171606458005658,0.44388835736747,0.433576444578538,1.02378337872796,0.315023314086669
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_right,22,7,27,0.0467012288116176,0.0113938669157516,0.496228619514123,0.431469686068887,1.15008918479361,0.260192211413631
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_right,22,7,27,0.0465186082419115,0.0112044826212415,0.495257442514943,0.431511011762879,1.14772839861406,0.261148888745757
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_left,22,7,27,0.0474503709137892,0.0121707550217074,0.500192827635664,0.431300119273717,1.15973264389066,0.25631093744082
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,22,7,27,0.035156398122359,-0.000578550095331254,0.430546279963745,0.434074459116075,0.991871949435785,0.33006636774891
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_left,22,7,27,0.0812110642226423,0.0471818443790366,0.654372824293561,0.423588002118819,1.54483323658918,0.134028071515754
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.atr_right,22,7,27,0.0646454587785679,0.0300026979925889,0.583830346556019,0.427389552514797,1.3660379462266,0.183198256824426
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_left,22,7,27,0.000526716878307604,-0.0364908121261995,0.0526994729504791,0.441795580275581,0.11928474458166,0.905932891634984
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_left,22,7,27,0.0503769155150829,0.0152056901637897,-0.515386977282367,0.430637061950084,-1.19680125753344,0.241787278576602
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.chip_right,22,7,27,0.0256274433354469,-0.0104604291336106,-0.367595592200292,0.436212688240843,-0.842698073920614,0.406800683541056
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_right,22,7,27,0.0179914248136237,-0.0183792631562421,0.307999799172038,0.437918620735137,0.703326564773602,0.487873341290324
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.intcap_left,22,7,27,0.0942170132651685,0.0606694952379526,0.704826656276677,0.420579259158617,1.67584739600975,0.105312162345145
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_left,22,7,27,0.0637754852450606,0.0291005032170999,0.579888558589533,0.427588263894317,1.35618445957361,0.186274421493054
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_right,22,7,27,0.0243722777535821,-0.0117620823296185,0.358480646074229,0.436493557676674,0.821273624248466,0.418683392874781
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_right,22,7,27,0.0423709129015803,0.00690316893497211,0.472662953939183,0.43244854134896,1.09299236497545,0.28405359015017
