site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_right,22,7,27,0.0327996143362673,-0.00302262216979687,0.415864666743609,0.434604283682997,0.956881195968477,0.347117341643116
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_right,22,7,27,0.0102782602868028,-0.0263781004433157,-0.23279704321665,0.439635067914997,-0.529523371101191,0.600769770814937
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_left,22,7,27,0.00471401777601683,-0.0321484260100564,0.157657001404077,0.440869155975109,0.357604970244229,0.723419300150269
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_ant,22,7,27,0.00331333720123088,-0.0336009836431679,-0.132175351048037,0.441179267725113,-0.299595562886677,0.766779942724949
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,22,7,27,0.0231626625169886,-0.0130164981305303,-0.349471604515021,0.436764063368948,-0.800138184033267,0.430614939712309
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cerped_left,22,7,27,0.000463111970382059,-0.0365567727714555,-0.0494152113883966,0.441809637639909,-0.111847291635299,0.911771860564002
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,22,7,27,0.0367749295554818,0.00109992694642558,0.440345516634169,0.433710224932947,1.0152989053976,0.318975719928503
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,22,7,27,1.08239455887754e-05,-0.0370258122045746,-0.00755458225876507,0.44190958523101,-0.017095312053066,0.986486282679476
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_right,22,7,27,0.00374318197168716,-0.0331552186960282,-0.140487642406355,0.441084122952392,-0.318505326072502,0.752552415134304
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_left,22,7,27,0.0779008098961079,0.0437489880404083,-0.640897593151005,0.424350377061069,-1.51030287186188,0.142581794654694
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.intcap_right,22,7,27,0.000240941423045341,-0.0367871718575825,-0.0356429293467986,0.441858736195633,-0.0806658925739056,0.936302630568534
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_right,22,7,27,0.0525363374435412,0.017445090682191,0.526317185020366,0.430147153695772,1.22357472436656,0.231683998269643
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_right,22,7,27,0.000155395503960772,-0.0368758861440406,0.0286244320780897,0.441877639951901,0.0647790915177457,0.948827138459062
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_right,22,7,27,0.0218867862460431,-0.0143396290781774,0.339710251172766,0.437049205551461,0.777281475078134,0.443750161749938
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,22,7,27,0.0153281136479079,-0.0211412154762436,0.284290279240756,0.438512059459008,0.648306638571091,0.522262495355135
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_right,22,7,27,0.0180873447324459,-0.0182797906478338,0.308819746554503,0.437897232864705,0.705233382120772,0.486705063946368
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_left,22,7,27,0.000527655506533303,-0.0364898387339654,-0.0527464082180278,0.441795372825364,-0.119391038164806,0.905849481162766
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_left,22,7,27,0.00843745398532884,-0.0282870847559553,-0.210922719830806,0.440043721690809,-0.479322188759707,0.635569065831112
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cerped_right,22,7,27,0.000342746289749421,-0.0366815964402598,-0.0425112656784978,0.441836238517532,-0.0962149818700553,0.924060441526278
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.chip_left,22,7,27,0.0200767733467948,-0.0162166794922127,0.32536033927633,0.437453401639165,0.743759993766616,0.463445473522802
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_right,22,7,27,0.00925221621067729,-0.0274421461518901,-0.220871937437076,0.439862893620781,-0.502138144954542,0.61964102383619
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.intcap_left,22,7,27,0.000357197780270822,-0.0366666097093489,-0.0433982312749215,0.441833044815258,-0.0982231451091837,0.922480683199108
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fornix_right,22,7,27,0.00917795970823675,-0.0275191528951617,0.219983814090064,0.439879377164108,0.500100312745495,0.62105616480854
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_right,22,7,27,0.0432657219660791,0.00783111907593381,0.477627838578093,0.432246454071204,1.10498960507242,0.278913987389183
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_right,22,7,27,0.0622058029181887,0.0274726845077514,0.572707808195969,0.427946562913618,1.33826944256022,0.191970416847223
