site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_left,22,7,27,0.00885121612315286,-0.0278579980945082,-0.216032517573978,0.439951900741262,-0.491036672895359,0.627368169862325
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_right,22,7,27,0.00344329274624529,-0.0334662149298195,-0.134742508404406,0.441150504642718,-0.305434329069923,0.762377772948437
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_left,22,7,27,0.000574165375866154,-0.0364416062768795,-0.0550219723054816,0.441785093359291,-0.12454465560868,0.901806679955596
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_ant,22,7,27,0.00509499702733452,-0.0317533364160976,-0.163904026126544,0.440784769135383,-0.371845938433964,0.712910000244414
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_left,22,7,27,0.0199152870093375,-0.0163841468051313,0.32404918910302,0.437489445196234,0.740701730432991,0.465267625963803
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfb_left,22,7,27,0.0393537521138,0.00377426145134818,0.455523437437177,0.433129254109735,1.05170323434623,0.302257834722415
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalslat_right,22,7,27,0.15142539802005,0.11999670905783,-0.893546208051884,0.407080956858905,-2.195008616828,0.0369411304873297
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cing_right,22,7,27,0.00567431089846244,-0.0311525664756684,-0.172971367076335,0.440656420241398,-0.392531140205739,0.697747583755153
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfa_right,22,7,27,0.00450184445123732,-0.0323684576061241,-0.154068160291525,0.440916145328727,-0.349427350129487,0.729479231892796
UCLA-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_left,22,7,27,0.000157285027886627,-0.0368739266377471,-0.0287979349282111,0.441877222417635,-0.0651718021821751,0.948517366720847
