site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_left,22,7,27,0.0284367125139983,-0.00754711294844612,-0.387219614197504,0.435583399468907,-0.888967795075819,0.381872357656519
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_ant,22,7,27,0.0439193287507751,0.00850893351932236,0.481222030360297,0.432098781154186,1.11368522974052,0.275230783490503
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypdor_left,22,7,27,0.0194867837584938,-0.0168285205467471,0.320544062776319,0.437585072217545,0.732529702514534,0.470157211902736
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cerped_left,22,7,27,0.065842431027937,0.0312440025474903,0.589210642965372,0.427115999984027,1.37950964840326,0.179057036544802
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsub_right,22,7,27,0.0489748887116993,0.0137517364417623,0.508164571166625,0.430954841723727,1.17915967513922,0.248621321831979
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.intcap_right,22,7,27,0.051070464483136,0.0159249261306597,0.518922567355748,0.430479777208854,1.20545167236505,0.238487707019203
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofa_right,22,7,27,0.0409176284721643,0.00539605915631858,-0.464486270604958,0.43277655585964,-1.07327040782589,0.292648936626071
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_mid,22,7,27,0.0337373110423885,-0.0020501959560415,0.421767281853019,0.434393559083857,0.970933553302525,0.340199658880016
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsub_left,22,7,27,0.0517807368311029,0.0166615048618844,0.522518615258126,0.430318640313586,1.21425977475052,0.235162599280775
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.opticrad_left,22,7,27,2.32800564105775e-05,-0.0370128947563149,0.0110792322995179,0.441906832955265,0.0250714211079861,0.980182379615586
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofa_left,22,7,27,0.0506560313967105,0.0154951436706627,-0.516812769069771,0.430573770272219,-1.20028855622819,0.240453039702187
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cerped_right,22,7,27,0.0543569122401433,0.0193330941749634,0.535358920379446,0.429733685795415,1.2457923082956,0.223543067678522
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.chip_right,22,7,27,0.0421651798908041,0.0066898161830562,-0.471514044297404,0.432494991568413,-1.09021850770454,0.285251488343718
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_right,22,7,27,0.0136336117681511,-0.0228984766848803,0.268116237098214,0.438889210525827,0.610897307721436,0.546376483714366
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.intcap_left,22,7,27,0.066696397594326,0.032129597505227,0.593019320585986,0.426920729832488,1.3890619010669,0.176165472406191
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.opticrad_right,22,7,27,0.0228426046233534,-0.0133484100202261,0.347048734874054,0.436835609742239,0.794460724204319,0.433855221154159
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_left,22,7,27,0.0138400067700701,-0.022684437423631,-0.270138077936596,0.438843289821473,-0.615568436847906,0.543333903334127
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.atr_left,22,7,27,0.0476894286481375,0.0124186667462167,0.501451244941934,0.431245995007638,1.16279629433556,0.255086820252226
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_left,22,7,27,0.0758443253351821,0.0416163373846333,-0.632381564149695,0.42482331098639,-1.48857548019523,0.148187344211209
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_temp,22,7,27,0.0113636363636364,-0.0252525252525253,-0.244780218506114,0.439393939393939,-0.557086014531155,0.582057766986335
