site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.fimbria_left,22,7,27,0.0160200578957226,-0.0204236436636951,0.290636192132787,0.438357957759951,0.66301110083176,0.512944492051794
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfb_left,22,7,27,0.00102867230493608,-0.035970265757844,0.0736471894707163,0.441684627065022,0.166741572963721,0.868815866161096
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfa_right,22,7,27,0.101537710149945,0.0682613290443873,-0.731697105035882,0.418876213448484,-1.7468098725684,0.0920386077194588
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ilf_left,22,7,27,0.1118268344483,0.0789315320204589,-0.767875250166527,0.416470837221392,-1.84376715375711,0.0762188074593691
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalslat_left,22,7,27,0.0691882061623578,0.0347136952794822,-0.603995481426261,0.426350435376899,-1.41666439461313,0.168016362635014
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ilf_right,22,7,27,0.0140502196277179,-0.0224664389045888,0.272181880768864,0.438796514744776,0.620291801832513,0.540266383172928
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypven_right,22,7,27,0.00842737175285415,-0.0282975404044474,0.210796662399303,0.440045958872841,0.479033287657612,0.635771918834659
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfd_right,22,7,27,0.0830894101188046,0.0491297586417234,-0.661897121015224,0.423154794981127,-1.56419619691358,0.129417907735634
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypven_left,22,7,27,0.180193186006943,0.149829970673867,-0.97473561862611,0.400121173614196,-2.43610106863769,0.0217237891578511
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_mid,22,7,27,0.0467035540173212,0.011396278240185,-0.496240972714287,0.431469159866391,-1.15011921794817,0.260180057399551
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ifof_left,22,7,27,0.199394029576046,0.169741956597381,-1.02535376225213,0.395407756483742,-2.5931554084076,0.0151723414249267
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofa_left,22,7,27,0.00104738285949928,-0.0359508622197786,0.0743139567528807,0.441680490708561,0.168252749026029,0.867638476350392
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.chip_left,22,7,27,0.0775783196063107,0.0434145536658037,0.639569637772578,0.424424575647526,1.50691000113934,0.14344564361377
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.fornix_right,22,7,27,3.53306560943324e-05,-0.0370003978381244,-0.0136487696863834,0.441904170264085,-0.0308862658576559,0.975587427978593
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.fimbria_right,22,7,27,0.068472361892985,0.0339713382593919,0.600862787981743,0.426514347062153,1.40877509073378,0.170314445823138
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalsmed_left,22,7,27,1.13029339883809e-06,-0.0370358648809197,-0.00244125558478352,0.441911727107912,-0.00552430595304701,0.995632879589373
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.atr_left,22,7,27,0.135962878958128,0.103961504104725,-0.846696628055785,0.410773078419588,-2.06122716540571,0.0490314630173794
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfd_left,22,7,27,0.0121079401551867,-0.0244806546538805,-0.252669480295509,0.43922850740877,-0.575257470846175,0.569880608246723
