site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofb_left,22,7,27,0.0282694746955021,-0.00772054476021999,-0.38607930560009,0.435620886930564,-0.886273631919833,0.383296202185298
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ifof_right,22,7,27,0.0435856017360818,0.00816284624482555,0.479390228281791,0.432174188208755,1.10925233704663,0.27710401966142
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfc_left,22,7,27,0.139338014869946,0.107461645050314,-0.857141383397418,0.409970004394849,-2.09074169868265,0.0460966153141057
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_ant,22,7,27,0.0930146263636184,0.059422575488197,0.700314755799125,0.420858316773801,1.66401548427882,0.107674575573457
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypdor_left,22,7,27,0.0546828236729253,0.0196710764015522,-0.536961465777545,0.429659626569222,-1.24973684417387,0.222120574579038
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cerped_left,22,7,27,0.174612670838688,0.14404276975864,0.959523314826118,0.401480698352171,2.38996125782476,0.0240939969159219
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfb_left,22,7,27,0.00129391980852334,-0.0356951942726424,0.0825983429804927,0.441625984980258,0.187032343633912,0.85303361515674
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalslat_right,22,7,27,0.232363296745605,0.203932307736183,1.10688223941455,0.387180644067584,2.85882638084909,0.00809751156352663
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cing_right,22,7,27,0.0005058017715392,-0.0365125018665517,0.0516425676684313,0.441800202787032,0.116891226718892,0.907811416259676
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfa_right,22,7,27,0.0652731489819403,0.0306536359812716,0.586657918052648,0.427246123876113,1.37311466451773,0.181013608117267
