site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_left,23,0,32,0.486423541823566,0.470374277505552,-1.68432228177027,0.305946483529329,-5.50528400372611,4.56589408242239e-06
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_left,23,0,32,0.424696376316721,0.406718138076619,-1.45347626432719,0.299048915586914,-4.86032949316867,2.98102318031661e-05
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_right,23,0,32,0.0202696462934864,-0.0103469272598422,0.291968043598499,0.358831472426938,0.813663421504775,0.421851189741161
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_ant,23,0,32,0.127232790128068,0.0999588148195705,0.745476678917687,0.345150699378291,2.15985852052594,0.0383815510477324
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfb_left,23,0,32,0.422937220541171,0.404904008683083,-1.68681238385406,0.34830954006313,-4.84285438621156,3.13599612231392e-05
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_left,23,0,32,0.0761726850740083,0.0473030814825711,-0.497112730802835,0.306038217175522,-1.6243485385282,0.114112360551064
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_right,23,0,32,0.209703635852835,0.185006874473236,-0.907523166032685,0.311440252317923,-2.91395591699647,0.00646220599393893
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.atr_right,23,0,32,0.074088398756753,0.0451536612179015,0.56755895542606,0.354687309592813,1.60016707696034,0.119389457627453
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_post,23,0,32,0.20159523680104,0.176645087951072,-0.764109227134286,0.268813998752824,-2.84252022096844,0.00773036383554967
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_right,23,0,32,0.0780635445330742,0.0492530302997327,-0.56705113245699,0.344487599834747,-1.64607124531916,0.109537232019497
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfa_left,23,0,32,0.487567324901999,0.471553803805186,-1.81393782479495,0.32873694780834,-5.51790067069829,4.40126265014882e-06
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_left,23,0,32,0.0238055287610704,-0.00670054846514612,0.241340145177876,0.273201975993651,0.883376279765577,0.383621696763347
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfd_left,23,0,32,0.49344026655465,0.477610274884482,-2.24837301649338,0.402709073042995,-5.58311984258008,3.64043617283015e-06
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_left,23,0,32,0.278952161129343,0.256419416164635,-1.10907978979354,0.315213621655866,-3.51850210015471,0.00132468125197895
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_mid,23,0,32,0.811191688646147,0.805291428916339,-11.1933996409803,0.954631649029017,-11.7253598834329,4.02551781595741e-13
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_left,23,0,32,0.526825071908614,0.512038355405758,-2.36903533502883,0.396893689790844,-5.96894179969771,1.18754775371025e-06
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_temp,23,0,32,0.292812309699333,0.270712694377437,-2.34530631831086,0.644313551155921,-3.64000774794088,0.00095140386356613
Finland-P1,2d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypdor_right,23,0,32,0.0792363507711587,0.0504624867327573,0.535128108345725,0.32247394018857,1.65944605642491,0.106796579161561
