site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_left,23,0,32,0.295756260539302,0.273748643681155,-1.32865747289977,0.362437035551093,-3.66589874260372,0.000886216211867152
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cerped_left,23,0,32,0.0278100169029077,-0.0025709200688766,0.457443471625149,0.478120526874771,0.956753466777974,0.345864528443437
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cing_left,23,0,32,0.0622856253658201,0.0329820511585021,0.669391160124168,0.459141296072699,1.45791974246241,0.154607922071254
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_left,23,0,32,0.0321768863920864,0.00193241409183909,0.48396274516213,0.469205321075607,1.03145195381138,0.310062051579655
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.hipcom,23,0,32,0.218463383863329,0.194040364609058,-1.02104581835866,0.341393759986736,-2.9908157032464,0.00531786062228915
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsub_left,23,0,32,0.0512372405769448,0.0215884043449743,0.613095064367242,0.466378777099546,1.31458611427419,0.197993490365635
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.intcap_left,23,0,32,0.0357583327416627,0.00562578063983965,0.523263138727411,0.480340791517092,1.08935811400642,0.284131999049089
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.atr_left,23,0,32,0.0268464903411467,-0.00356455683569235,0.441352385963465,0.469739852557613,0.939567685305844,0.354477936634317
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfd_left,23,0,32,0.46639339497152,0.44971818856438,-2.1422656895292,0.405072486358368,-5.28859836615497,8.580805223085e-06
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_left,23,0,32,0.393287263870167,0.37432749086611,-1.58229964472387,0.347416432233217,-4.55447554553692,7.21773741300204e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.chip_left,23,0,32,0.0627079835922916,0.0334176080795506,0.596815090643017,0.407887923904937,1.46318401616154,0.153170983175204
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_mid,23,0,32,0.41076079586945,0.39234707074037,-1.91301483620153,0.40503697679621,-4.72306220368625,4.43667550919306e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_left,23,0,32,0.856983700924389,0.852514441578276,-204.595525251384,14.7750047235314,-13.8474084495915,4.60836878496957e-15
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_right,23,0,32,0.0978809873068351,0.0696897681601737,0.653968293805758,0.350965519284739,1.86334057869426,0.0716142279349947
