site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_left,23,0,32,0.374881960356177,0.355347021617307,-1.60599479216582,0.366608802394964,-4.38067711870051,0.00011889089510688
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofb_left,23,0,32,0.5801462464249,0.567025816625678,-3.64357093119363,0.547939382768781,-6.64958761091853,1.67860960782301e-07
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfc_right,23,0,32,0.00507045130270655,-0.026021097094084,0.173964180283377,0.430782153002074,0.403833304307153,0.689021442586332
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfa_right,23,0,32,0.00951669653948948,-0.0214359066936514,0.276879180624616,0.499339337674198,0.554491023908214,0.583097824929578
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_right,23,0,32,0.0117724967272807,-0.0191096127499917,0.292191867231353,0.473246394247385,0.617420165865252,0.541326618167487
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_right,23,0,32,0.0761928046493617,0.0473238297946543,0.74745015404542,0.460088032408371,1.62458073541454,0.114062635614933
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.hipcom,23,0,32,0.343307011707899,0.322785355823771,-1.43401370994904,0.350605049901278,-4.0901113955798,0.000271710995231953
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.atr_right,23,0,32,0.0241493661080403,-0.00634596620108341,0.431897047306187,0.485337727532703,0.889889705261136,0.38016670766919
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfb_right,23,0,32,0.00742505158120952,-0.0235929155568777,0.226534241135064,0.463010440504244,0.489263786121875,0.627991975588451
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_right,23,0,32,0.00838485622636893,-0.022603117016557,0.253946098662216,0.488191621046499,0.520177093817897,0.606520549038951
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ant_comm,23,0,32,0.0527268322970334,0.0231245458063157,0.613135182893163,0.459412730875641,1.33460642617484,0.191424259340235
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_left,23,0,32,0.41055176709146,0.392131509813068,-2.07797282711455,0.440153081969757,-4.72102300821178,4.46292312997633e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.opticrad_left,23,0,32,0.755230736396262,0.747581696908645,-4.92215228439507,0.495357416009492,-9.93656726500034,2.64844888385625e-11
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.chip_left,23,0,32,0.191646701574515,0.166385660998718,-1.19706107627899,0.434601532286019,-2.75438761106619,0.00961675411134435
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_mid,23,0,32,0.396582913035509,0.377726129067868,-2.42488126985562,0.528758415559889,-4.58599087692622,6.59122983219416e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_left,23,0,32,0.851866286077662,0.847237107517589,-28567,2105.86674261412,-13.5654357523773,8.11062453854576e-15
