site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_left,23,0,32,0.112460775976729,0.0847251752260014,-0.438143410590656,0.217587797038126,-2.01363962756553,0.052520952154557
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalslat_right,23,0,32,0.167690915745684,0.141681256862737,0.642157367513429,0.252903028277208,2.53914463534837,0.0161726981493712
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cing_right,23,0,32,0.0894018948094809,0.0609457040222771,0.47308628154035,0.266904179723047,1.77249484077487,0.0858336665141491
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsub_right,23,0,32,0.17687964894864,0.151157137978285,0.670299495181839,0.25561517866506,2.62229926517842,0.013261298324481
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_right,23,0,32,0.0422347342478883,0.0123045696931348,0.320539983418899,0.269837235917348,1.18790122619356,0.243614754759032
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_left,23,0,32,0.216364516123576,0.191875907252438,-0.88484926857714,0.297685948057535,-2.97242538437226,0.00557280838631091
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypven_right,23,0,32,0.154262881804848,0.127833596861249,0.605523805611939,0.250635859977815,2.41595039778241,0.0215772727001186
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_right,23,0,32,0.184788328093051,0.159312963345958,1.38996486529233,0.516091563659038,2.69325244427096,0.0111689685126979
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.hipcom,23,0,32,0.338297891345265,0.317619700449804,-0.627110955573154,0.15504258928283,-4.04476575419658,0.000308786680002598
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsub_left,23,0,32,0.157838501449424,0.131520954619719,-0.541623421263149,0.221163606766266,-2.44897173265743,0.019986316384562
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.atr_right,23,0,32,0.0304698027638765,0.000171984100247546,0.236184358141901,0.235516854057377,1.0028342094123,0.323464190469365
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_post,23,0,32,0.394721651273901,0.375806702876211,-1.09226354052006,0.239102734623788,-4.56817669709493,6.93843555219725e-05
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.intcap_left,23,0,32,0.227561672026867,0.203422974277707,-0.600148041817533,0.195463537215646,-3.07038361408255,0.00433663005156449
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_right,23,0,32,0.10756069326636,0.0796719649309335,-0.509332022926493,0.25935136717345,-1.96386866388046,0.0582827599694101
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfb_right,23,0,32,0.0638960064526422,0.0346427566542872,0.459864133510567,0.311157118405386,1.47791615974358,0.149206194330135
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.opticrad_right,23,0,32,0.245386198254766,0.221804516950227,0.471146852570786,0.146055733802932,3.22580182443564,0.00289385304688317
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ant_comm,23,0,32,0.109684060062926,0.0818616869398925,0.455586254261573,0.229454161458145,1.98552186356697,0.0557116339970651
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_left,23,0,32,0.173445280213449,0.14761544522012,-1.01577639554061,0.39199243821236,-2.59131630235764,0.0142842110230254
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.opticrad_left,23,0,32,0.447715785192788,0.430456903480062,-1.67695085456603,0.329249753101463,-5.09324863198684,1.51522218968909e-05
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.chip_left,23,0,32,0.459107194138762,0.442204293955599,-1.57910850895424,0.302995053159088,-5.21166432418661,1.0735189512027e-05
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_mid,23,0,32,0.286095249150873,0.263785725686837,-2.28699193211298,0.638637559132398,-3.5810482791208,0.00111765847428624
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_left,23,0,32,0.637336011404212,0.626002761760594,-3.42409541277305,0.456603100763105,-7.49906298719935,1.54474198697375e-08
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsmed_right,23,0,32,0.157909030044063,0.13159368723294,0.885003712659007,0.361281834620753,2.44962139762166,0.0199561195847648
Finland-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypdor_right,23,0,32,0.0236013006884268,-0.00691115866505987,0.325568974715243,0.370180595560811,0.879486873756894,0.385694370191949
