site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fimbria_left,23,0,32,0.505974852667422,0.490536566813279,-2.06760952124387,0.361163286308929,-5.72486074754368,2.41083487498778e-06
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_left,23,0,32,0.709038021567264,0.699945459741241,-3.14250440860331,0.355864171052945,-8.83062883039094,4.33427497862909e-10
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_right,23,0,32,0.186299008324799,0.160870852334949,0.963561908346232,0.35598507076163,2.70674808436402,0.0108074943254174
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,23,0,32,0.458611531870916,0.441693142241882,-1.93067539170589,0.370822678802415,-5.20646525164284,1.08989067624374e-05
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,23,0,32,0.0877678158056129,0.0592605600495383,0.556737539438828,0.317293055133582,1.75464773158819,0.0888917927871468
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_right,23,0,32,0.00168826032972438,-0.0295089815349718,0.0798171381433629,0.343110923028409,0.232627796978513,0.817531924422982
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cing_left,23,0,32,0.448870287519011,0.431647484003981,-1.65990712261331,0.32514365441963,-5.1051499854001,1.46365758712162e-05
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_left,23,0,32,0.0527420190053952,0.0231402070993139,-0.515634738026098,0.386298427043823,-1.33480931302783,0.191358556288294
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.intcap_right,23,0,32,0.046925802556622,0.0171422338865164,0.440052264522312,0.350579706105304,1.25521317081067,0.2184907679997
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.hipcom,23,0,32,0.36994371405866,0.350254455122993,-1.53993574662636,0.355262575120297,-4.3346410640212,0.000135622200552508
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_left,23,0,32,0.277001760940204,0.254408065969585,-1.31086763060912,0.374378763137535,-3.50144762385347,0.00138727217932295
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cerped_right,23,0,32,0.0404838340049114,0.0104989538175648,0.400248370444012,0.344460885441835,1.16195593566631,0.253846827748385
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.chip_right,23,0,32,0.222740943025356,0.198451597494898,-1.05582930157898,0.348659569799236,-3.02825275149321,0.00483254954707752
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_left,23,0,32,0.311648985930384,0.290138016740708,-1.81864365182912,0.477798454968246,-3.80629872892741,0.000601556424876506
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_left,23,0,32,0.279011125563032,0.256480223236877,-1.24045988348822,0.352501732325384,-3.51901783660794,0.00132283160070873
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_left,23,0,32,0.586045253030363,0.573109167187562,-2.16785583319966,0.322081859973652,-6.73076041406677,1.33239361846444e-07
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,23,0,32,0.304185360773949,0.282441153298135,-1.99570490483817,0.533579286124759,-3.74022185031288,0.000722259229445707
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,23,0,32,0.317475664159798,0.296146778664792,-1.49166945196,0.38663525922897,-3.85807920088481,0.000520925456917307
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_left,23,0,32,0.215733842581905,0.19122552516259,-0.902269191240161,0.304112125757268,-2.96689646620773,0.0056516864935282
