site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_right,23,0,32,0.0189611564797641,-0.0116963073802432,0.389097137310383,0.494759038579704,0.786437653422881,0.437396628633589
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_ant,23,0,32,0.0169214098579984,-0.0137997960839391,0.366352870930237,0.493628762146709,0.742162732449035,0.463401825657067
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,23,0,32,0.0119641885134825,-0.0189119305954712,0.309389743770557,0.497022034687792,0.622486976789475,0.538032585660055
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_right,23,0,32,0.0133989375340008,-0.0174323456680616,0.326277994808236,0.494935270124111,0.659233670549318,0.514462153670933
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.intcap_right,23,0,32,0.0189819107192368,-0.0116749045707871,0.387264987451597,0.492154873157742,0.78687626308939,0.437143481828492
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ilf_right,23,0,32,0.0149236895337966,-0.0158599451682722,0.345587473927428,0.496340642292907,0.69627075536459,0.491286082996864
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_right,23,0,32,0.0136071514861675,-0.0172176250298897,0.331424342095242,0.498827928949981,0.664406146610277,0.51119004907471
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_right,23,0,32,0.0149887654285006,-0.0157928356518588,0.345320258963493,0.494862710090826,0.697810224779542,0.490335620259521
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.atr_right,23,0,32,0.0187021313271541,-0.0119634270688722,0.384106228435084,0.491848370560578,0.780944395520318,0.440574580529422
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cerped_right,23,0,32,0.0226439183810996,-0.00789845916949106,0.423996956875598,0.492423045558882,0.861042066774875,0.39562092312457
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.atr_left,23,0,32,0.019210818980751,-0.0114388429261005,0.384661065886591,0.485867818991781,0.79169899888574,0.434365835977472
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ant_comm,23,0,32,0.0176390391901806,-0.0130597408351263,0.376206450683672,0.496305780924806,0.758013436762023,0.453989492860833
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_left,23,0,32,0.492539202242127,0.476681052312193,-2.21582618683222,0.397595581169085,-5.57306542571936,3.74850333636724e-06
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_left,23,0,32,0.119869385818117,0.0923653041249328,-0.690599943632651,0.330804168232544,-2.0876397879823,0.0448768543540317
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,23,0,32,0.132646187682347,0.10554138104742,-0.920173472496518,0.415954166896275,-2.21219919339329,0.0342111780086534
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,23,0,32,0.401153971362007,0.38244003296707,-1.66432323462063,0.359471716855555,-4.6299142785951,5.80692904321186e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_left,23,0,32,0.870419741969773,0.866370358906328,-0.212982498329978,0.0145269346150036,-14.661214080912,9.43728913320198e-16
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_right,23,0,32,0.00695695295073833,-0.0240756422695512,0.174676793864766,0.368922146797703,0.473478741737209,0.639085961617961
