site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fimbria_left,23,0,32,0.315969990759665,0.294594052970904,-1.45386112698341,0.378148684857228,-3.84468116696565,0.00054071606116953
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_left,23,0,32,0.395264176164243,0.376366181669376,-1.44432778079519,0.315812922334208,-4.57336504826974,6.83548515322269e-05
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ifof_right,23,0,32,0.103148635871572,0.075122030742559,0.723602434353783,0.377184226100455,1.91843238471236,0.0640152427626327
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_left,23,0,32,0.276303465493295,0.25368794878996,-1.16349643015671,0.332870375890877,-3.49534387685533,0.00141035944734158
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_ant,23,0,32,0.0100694600525796,-0.0208658693207773,0.201049254059295,0.352392572968206,0.570526365995332,0.572305505448888
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfb_left,23,0,32,0.558735692031076,0.544946182407047,-2.3168124954829,0.363967068288379,-6.36544538597443,3.78408138507339e-07
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsub_right,23,0,32,0.0260368768217976,-0.00439947077752123,0.338956386564646,0.366476089520215,0.924907234762307,0.361936886878983
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.intcap_right,23,0,32,0.0203656708353498,-0.0102479019510455,0.295031725852018,0.361723203489797,0.815628422522084,0.420742480258402
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_right,23,0,32,0.0908167152705649,0.0624047376227701,0.593777210209435,0.332117195610917,1.78785446239002,0.0832735088644907
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypven_left,23,0,32,0.0391349688978832,0.00910793667594212,-0.388184096083818,0.3400254678621,-1.14163241513794,0.262078083971699
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_right,23,0,32,0.262711477400546,0.239671211069313,-0.845389798400228,0.250357857807481,-3.37672564306055,0.00193993796352484
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsub_left,23,0,32,0.171386056354336,0.145491870615409,-0.988643418079195,0.384284675474153,-2.57268499416312,0.014933929628433
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.atr_right,23,0,32,0.030762583863644,0.000473914609382842,0.370964374058706,0.368095827670205,1.00779293372233,0.321114022490004
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cerped_right,23,0,32,0.0347614931053376,0.00459778976487946,0.383789578591271,0.357508438336128,1.07351194387875,0.291070330902962
