site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_left,23,0,32,0.35962572037443,0.339614024136131,1.39277709738252,0.328547521481964,4.23919526496558,0.000178047129537774
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_ant,23,0,32,0.107990796805997,0.0801155092061844,0.60863087617142,0.309221929801732,1.96826556435264,0.0577524653978265
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfb_left,23,0,32,0.0532602502924392,0.0236746331140779,0.461504396126,0.343965240865553,1.34171811943751,0.189131559995583
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_left,23,0,32,9.34109467110015e-06,-0.0312403669961205,0.0062556300729543,0.3618221537148,0.0172892400554478,0.986313220211142
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalslat_left,23,0,32,0.0758188989135111,0.0469382395045583,-0.645240691528274,0.398232375037829,-1.62026176668077,0.114990471351816
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofa_right,23,0,32,0.167760272380966,0.141752780892871,-0.706432500425074,0.278147616393763,-2.53977549613441,0.0161485502611395
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fornix_left,23,0,32,0.0405404848609262,0.0105573750128302,-0.378977365337127,0.325917095177112,-1.1628029672122,0.253507906612239
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypven_right,23,0,32,0.00264251943968483,-0.0285249018278251,0.12118925192799,0.416203228559551,0.29117806785742,0.772794218896168
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_right,23,0,32,0.0548752661111347,0.0253401181771077,0.401288197476175,0.294399889195145,1.36307183597538,0.182374811742878
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_right,23,0,32,0.228996795944317,0.204902945817577,-0.878163181181075,0.284848294682276,-3.0829153538047,0.00419869694043868
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ifof_left,23,0,32,0.00254254785826593,-0.0286279975211632,0.103757478567216,0.363293009849976,0.285602738709626,0.777023022704453
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.atr_right,23,0,32,0.163786242755745,0.137654562841862,0.704567154429088,0.281428028373174,2.50354294311734,0.0175905101765443
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cerped_right,23,0,32,0.121849241688098,0.0944070304908514,0.712887092629443,0.338313156629758,2.10718110915683,0.0430297356123915
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.chip_right,23,0,32,0.226232124269938,0.202051878153373,-1.24022299796839,0.40546465508641,-3.05876969153842,0.00446829131540862
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_post,23,0,32,0.321496598130384,0.300293366821958,-1.32003190697109,0.338998099504285,-3.89392126062466,0.000471391466470001
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.intcap_left,23,0,32,0.00822691533848306,-0.0227659935571893,-0.178741432306665,0.346926831354091,-0.51521363051978,0.609944804363791
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fornix_right,23,0,32,0.151512595021912,0.124997363616347,-0.795655918111936,0.332850060291973,-2.39043345046714,0.0228848252559943
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfa_left,23,0,32,0.019207446675098,-0.0114423206163052,-0.264470701397673,0.334084509892111,-0.791628146671875,0.434406565744869
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fimbria_right,23,0,32,0.294036163198852,0.271974793298817,-1.08783618740849,0.297974682985116,-3.65076716085584,0.000923768271802829
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.opticrad_right,23,0,32,0.287411961503703,0.265143585300694,-1.03798938462702,0.288924764257187,-3.59259403497531,0.0010830295930491
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsmed_left,23,0,32,0.135163763200167,0.108137630800172,-0.872261502062649,0.390039434035928,-2.23634183097061,0.0324279300878768
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ant_comm,23,0,32,0.126106594971854,0.0987974260647244,0.856883722565742,0.398756003906773,2.14889234060555,0.0393106424901052
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_left,23,0,32,0.200467991380116,0.175482616110745,-1.10138896345818,0.388831230041139,-2.83256302057234,0.00792464605112112
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofa_left,23,0,32,0.33343929819103,0.3126092762595,-0.242947987250169,0.0607225187176495,-4.00095372163069,0.000349296814980437
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_right,23,0,32,0.0156759807331624,-0.0150841448689263,-0.249085358878631,0.348919219544298,-0.713876865837158,0.48047819882985
