site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ifof_right,23,0,32,0.0552022803399635,0.0256773516005874,0.657786918595304,0.48106211055671,1.36736380637851,0.181039642599684
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_ant,23,0,32,0.053218503544685,0.0236315817804563,0.641362884418335,0.478214110128572,1.34116261070987,0.189309880660058
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalslat_right,23,0,32,0.0440610562865214,0.0141879642954752,0.588776458817167,0.48480051567238,1.21447160178982,0.233454079438685
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfa_right,23,0,32,0.0466899613029833,0.0168990225937016,0.603726424216633,0.482248096067047,1.25190006791172,0.219679983371125
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.intcap_right,23,0,32,0.0550779936630059,0.0255491809649748,0.653110980776515,0.478212498184093,1.36573381761573,0.181545810459083
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ilf_right,23,0,32,0.0486052207631653,0.0188741339120142,0.617432571243899,0.482895845163381,1.27860402492177,0.210232321579228
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypven_right,23,0,32,0.0458152961871742,0.0159970241930235,0.600228943390712,0.484231369193357,1.23954989613867,0.224155872733051
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_right,23,0,32,0.0490701485085562,0.0193535906494485,0.619532519448279,0.48211947247164,1.28501866201789,0.208009403059892
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.atr_right,23,0,32,0.0551229207126673,0.0255955119849381,0.651497690353958,0.476825461614258,1.3663231995799,0.181362660177648
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cerped_right,23,0,32,0.0606878013682975,0.0313342951610568,0.688762837451467,0.4790148713638,1.43787359981225,0.160178106184238
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.atr_left,23,0,32,0.0554437248349683,0.0259263412360611,0.645315179886648,0.47085220779252,1.37052597228344,0.180060810878693
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ant_comm,23,0,32,0.0529307082630178,0.0233347928962371,0.641801853868536,0.479913539907615,1.33732808203762,0.19054432243203
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_left,23,0,32,0.480535630398074,0.464302368848014,-2.15223938701214,0.395576670248593,-5.44076420295363,5.50932594376156e-06
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.opticrad_left,23,0,32,0.0962954719423066,0.0680547054405036,-0.606262947740063,0.328319240015416,-1.84656539687286,0.0740767644776393
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypdor_left,23,0,32,0.114653550436747,0.0869864738878956,-0.82924500379023,0.4073528371532,-2.03569222589792,0.0501315916538381
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_mid,23,0,32,0.38672515468717,0.367560315771144,-1.59831606864371,0.355806634117034,-4.49209181444882,8.63671058956501e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofa_left,23,0,32,0.869762445587029,0.865692522011623,-1.23632120564199,0.0845715167586179,-14.6186476608982,1.02366700508198e-15
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_right,23,0,32,0.0338848200763091,0.00369372070369378,0.379373876845492,0.358099978150766,1.05940770732404,0.2973455985792
