site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fimbria_left,23,0,32,0.403579828779777,0.384941698429145,-1.44552602255621,0.31064356443229,-4.65332679657456,5.42740768964668e-05
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_left,23,0,32,0.193846072375344,0.168653762137074,-0.994480980452535,0.358510579955892,-2.77392366098342,0.00916480827714555
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ifof_right,23,0,32,0.318339509596148,0.297037619271028,0.27668495881933,0.0715730214536076,3.86577167206323,0.00050988381417795
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfc_left,23,0,32,0.0289069790256618,-0.00143967787978627,1.00978245627367,1.03462244267652,0.975991254994826,0.336389717355265
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalslat_right,23,0,32,0.173814005011153,0.147995692667751,0.300482116488712,0.115808429343906,2.59464805965374,0.0141708130947181
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.intcap_right,23,0,32,0.188574624828036,0.163217581853912,0.722399004336615,0.264901743005498,2.72704511544728,0.0102843006900928
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ilf_right,23,0,32,0.238706000232784,0.214915562740059,0.857569939183509,0.270731690729031,3.16760087034594,0.00337022515664623
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.hipcom,23,0,32,0.324896278602139,0.303799287308456,-0.397059550592262,0.101179735571493,-3.92429915288424,0.000433034102764397
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsub_left,23,0,32,0.183519489874306,0.158004473932878,-0.818886600490162,0.305337812642765,-2.68190367056907,0.0114816086705966
Finland-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.atr_right,23,0,32,0.188995976877259,0.163652101154673,0.5643640475178,0.206666257463841,2.73079918533166,0.0101901567690886
