site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.fimbria_left,23,0,32,0.121366597817285,0.0939093039990753,-0.78234141586576,0.372113647479782,-2.10242602270659,0.0434729018548045
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofb_left,23,0,32,0.205449864359741,0.180620172620983,-0.882227723505132,0.306699759609618,-2.8765191228975,0.00710014722934212
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_ant,23,0,32,0.11205378574592,0.0843054665504797,0.690733382146651,0.343728481339805,2.00953199878657,0.0529768605831758
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfb_left,23,0,32,0.339833102860352,0.319202887324738,-1.36530025605035,0.336393204422316,-4.05864398597162,0.000296942115523174
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalslat_right,23,0,32,0.200463563647486,0.17547805001147,0.794615824654427,0.280532787668132,2.83252389590357,0.0079254183934044
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalsub_right,23,0,32,0.122317154978832,0.09488956607192,0.782412325191283,0.370497953465668,2.11178582195268,0.0426043994028777
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.intcap_right,23,0,32,0.0868684496020413,0.0583330886521051,0.63120638284689,0.361769568478012,1.74477467936957,0.0906227097877802
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofa_right,23,0,32,0.000919395309601913,-0.0303018735869729,0.0581594139598774,0.338917625226488,0.171603391594082,0.864829943051432
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypven_right,23,0,32,0.199549106492901,0.174535016070804,1.0437319858053,0.369535747555111,2.82444118792499,0.00808649744087442
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfd_right,23,0,32,0.143364588687905,0.116594732084402,0.723530689284179,0.312650431766605,2.31418419989357,0.0272324826590901
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalsub_left,23,0,32,0.0463421742918795,0.0165403672385007,-0.463286397889169,0.371520382911952,-1.24700129305951,0.221447270966375
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.atr_right,23,0,32,0.113999430940859,0.0863119131577605,0.745417657771718,0.367358713796265,2.02912747071823,0.0508326995000686
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cerped_right,23,0,32,0.117430901875912,0.0898506175595342,0.739327205670759,0.358298391818457,2.0634399220116,0.0472611152263966
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.chip_right,23,0,32,0.000128931250478729,-0.0311170396479439,0.0226307807585143,0.352303900830557,0.0642365318838712,0.949181497332269
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfa_left,23,0,32,0.232686813871291,0.208708276804769,-1.20915277313587,0.388156292821772,-3.11511830542723,0.00386310560455074
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.opticrad_right,23,0,32,0.00130502965457048,-0.0299041881687243,-0.070786236286982,0.346162543632155,-0.204488433509438,0.839266901701956
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ant_comm,23,0,32,0.21466027295603,0.190118406485906,1.22185941115746,0.413141853933109,2.95748155149462,0.00578843524544579
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.opticrad_left,23,0,32,0.58040979131064,0.567297597289097,-2.15515999254288,0.323929003295837,-6.6531862556766,1.6614875285253e-07
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_mid,23,0,32,0.0286568583484801,-0.0016976148281298,0.352431700996173,0.362720438162733,0.971634525976328,0.33851999238728
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofa_left,23,0,32,0.0508976343594604,0.0212381854331936,0.418035089902851,0.319113721006463,1.30998782686121,0.19952644131462
Finland-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypdor_right,23,0,32,0.0327228681779451,0.00249545780850591,0.54737623000071,0.526090820072691,1.04045957297844,0.305924208460656
