site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofb_left,23,0,32,0.405206395500984,0.386619095360389,1.55170821831059,0.332338052462679,4.6690657504074,5.1862006922697e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ifof_right,23,0,32,0.332729027382225,0.31187680948792,1.62683309928821,0.40726189889429,3.99456247614873,0.000355625450787869
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_ant,23,0,32,0.517414821712363,0.502334034890874,1.99936297488293,0.341337664961938,5.85743438277132,1.64061742122437e-06
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfb_left,23,0,32,0.249624412284185,0.226175175168066,1.12494866071325,0.344789105256777,3.26271521797493,0.00262582167036718
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalslat_right,23,0,32,0.289183550819788,0.266970536782907,1.33316833885173,0.369489365869375,3.60813723478863,0.00103804763683485
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfa_right,23,0,32,0.403415265815047,0.384771992871767,1.68579154314995,0.362400497752315,4.6517362796287,5.45239319641553e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ilf_left,23,0,32,0.24036655165213,0.216628006391259,1.13654137828042,0.357170256633783,3.18207173517741,0.0032452396162195
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalslat_left,23,0,32,0.0706668830685293,0.0416252231644209,0.600701438805238,0.385089273527609,1.55990176849777,0.128619559493079
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ilf_right,23,0,32,0.295257588575913,0.27323438821891,1.54312097889126,0.421443787470403,3.66151079875542,0.000896950592709344
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.fornix_left,23,0,32,0.07882297782947,0.050036195886641,0.576994970878778,0.348692148045223,1.654740360841,0.10775427160343
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfd_right,23,0,32,0.385508172495969,0.366305302886468,1.56969983759992,0.350334481975087,4.48057476029877,8.92732829450936e-05
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalsub_left,23,0,32,0.138532810201909,0.111611960520719,0.83319041250714,0.367292722474592,2.26846425623033,0.0301846715870688
Finland-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ifof_left,23,0,32,0.254183625865082,0.230876864173366,1.20758339613676,0.365665776424224,3.30242389086965,0.00236406340435203
