site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cing_right,22,0,29,0.132460588788657,0.102545436677921,0.938167443659083,0.445843690650165,2.1042519235631,0.0441412164184212
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_right,22,0,29,0.115129453862843,0.0846166764098374,0.897275971107449,0.461927359737826,1.94246119480066,0.0618486322472389
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ilf_right,22,0,29,0.125285099055794,0.0951225162646144,0.854216164975948,0.419133466033791,2.03805287384778,0.0507572692512341
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfd_right,22,0,29,0.0825121503422189,0.0508746382850539,0.638306350126233,0.395249540886697,1.61494520321078,0.117151874123487
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypven_left,22,0,29,0.0186474326438,-0.015192311058138,0.313477181304269,0.422289168413565,0.74232825455108,0.463859103851963
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfd_left,22,0,29,0.205141397870172,0.17773248055535,1.07410486366015,0.392614168515635,2.73577713132727,0.0105088085256053
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_mid,22,0,29,0.00979857695376147,-0.0243462997030055,-0.229428592235965,0.428281002485637,-0.535696402372316,0.596253369772709
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.hipcom,22,0,29,0.0162603632773723,-0.0176616931613391,-0.297678382143845,0.42995525448148,-0.692347352523558,0.494226177707786
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_left,22,0,29,0.00186094801675861,-0.0325576399826635,0.100626148224189,0.432753165153141,0.232525504899726,0.817763126059338
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.chip_left,22,0,29,0.0426445201283882,0.00963226220178082,0.483674759439867,0.42555865074893,1.13656427519135,0.265025465841323
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_post,22,0,29,0.0595074519274362,0.0270766744076926,0.562352504495526,0.415146744755287,1.3545872913613,0.186009427647673
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfa_left,22,0,29,0.151418467682205,0.122157035533315,1.05208642989905,0.462497920693179,2.27479169705716,0.030493884685676
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_right,22,0,29,0.00103558054309035,-0.0334114684036997,0.080393180416594,0.4636638959167,0.173386759513915,0.863552021210827
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_right,22,0,29,0.0974303985022809,0.0663073087954629,0.706535890076369,0.399326692027136,1.76931796492171,0.0873574817056657
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_right,22,0,29,0.0406144617791984,0.00753220184055003,0.507855384129907,0.458350062339763,1.10800766893634,0.276963877053378
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_left,22,0,29,0.0918725651526259,0.0605578260199577,0.726198686319,0.423971766696872,1.71284680575962,0.0974145379859445
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypdor_left,22,0,29,0.126120696916282,0.0959869278444299,-0.918178380814694,0.4488080207539,-2.04581544525954,0.0499386300684692
