site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_left,22,0,29,0.0974665229547968,0.0663446789187552,-0.88266606049441,0.498771181201149,-1.76968135642633,0.0872957295913732
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofb_left,22,0,29,0.00180899963863709,-0.0326113796841685,-0.102551760467388,0.447333791701823,-0.229251092516941,0.820282925066506
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfc_right,22,0,29,0.000775071250978351,-0.0336809607748501,0.058030580267348,0.386917818334732,0.149981669278266,0.88181735182437
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_ant,22,0,29,0.00418838931036716,-0.0301499420927238,-0.139841839364942,0.400408418909256,-0.349247999694618,0.729426454089441
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfb_left,22,0,29,0.00887657623069199,-0.0253000935544567,-0.198183027350005,0.388873712110575,-0.50963338785331,0.614164971691366
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cing_right,22,0,29,0.00175732138973171,-0.0326648399416569,-0.0870808323067399,0.385403843656238,-0.22594697416773,0.822827564621632
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cing_left,22,0,29,0.0424198200151252,0.00939981380875021,-0.464599508665823,0.409904711994332,-1.13343295422339,0.266316054475782
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_right,22,0,29,0.00136727175790933,-0.0330683395607836,-0.0817203920891832,0.410116194331893,-0.199261558598805,0.843448695489843
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_right,22,0,29,0.0219785451498462,-0.0117463326036074,-0.334213727506329,0.413999680112965,-0.807280158803829,0.426077086378983
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_left,22,0,29,0.0536201251001243,0.0209863363104733,-0.559819237828554,0.436734656737919,-1.28182920496849,0.210056318765075
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_right,22,0,29,0.0513539742306163,0.018642042307534,-0.522706735004054,0.417180656700652,-1.25295055417472,0.220232766619609
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypven_left,22,0,29,0.0558591197894384,0.023302537713212,-0.535195019627878,0.408586884375275,-1.30986832934245,0.200522295823991
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_left,22,0,29,0.103928390019791,0.0730293689859903,-0.977326714787998,0.532899153517933,-1.83398061028279,0.0769378834691738
