site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fimbria_left,22,0,29,0.0127270921160213,-0.0213168012592884,-0.284552088126397,0.465389728692708,-0.611427521027832,0.545680189448455
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_left,22,0,29,0.0759334225594449,0.0440690578201154,-0.667242750163683,0.432235077257171,-1.54370338103468,0.133503609234081
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_ant,22,0,29,1.30297360487508e-06,-0.0344814107169604,0.00278283266270628,0.452709909729587,0.00614705488635874,0.995137482851188
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,22,0,29,0.00255527277729536,-0.0318393729890047,-0.125368149149027,0.459953576999643,-0.272566962011308,0.787117569705257
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cing_right,22,0,29,0.00205148033247749,-0.0323605375870923,-0.11241029134174,0.460391677963152,-0.244162300758915,0.80882432271581
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_right,22,0,29,0.000380639883539545,-0.0340889932239248,-0.047375079907121,0.450828268502306,-0.105084537099915,0.91703220275956
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cing_left,22,0,29,0.00752206554759971,-0.0267013115024832,-0.209382585075103,0.44661513003535,-0.468821074329771,0.642702807254487
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_right,22,0,29,0.000978706451815775,-0.0334703036705355,0.0777401652125919,0.461219443237113,0.168553529892333,0.86731793987855
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_right,22,0,29,0.0321610588759617,-0.00121269771452237,0.407347303565547,0.414956166984486,0.981663452614204,0.33438498539386
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_left,22,0,29,0.00645031259647275,-0.0278100214519248,-0.197466330248835,0.455091234654027,-0.433904929852042,0.667568524132306
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_left,22,0,29,2.57074902153179e-05,-0.0344561646652946,-0.0117407902792984,0.429994508881208,-0.0273045121200418,0.978403892325609
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,22,0,29,0.166295408355079,0.137546974160427,-0.969855156984049,0.403249509860347,-2.40509940686581,0.0227742309877879
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.hipcom,22,0,29,0.0672029819055048,0.0350375674884531,-0.578596428559767,0.40029120884403,-1.44543876002336,0.159055303616499
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_right,22,0,29,0.00166791567515804,-0.0327573286119056,-0.100396049124234,0.456108423202676,-0.220114437745478,0.827324217476248
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_left,22,0,29,0.0110394705378306,-0.023062616685003,-0.261715557503497,0.459987359927686,-0.568962498327434,0.573762095815836
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_left,22,0,29,0.00261539699297829,-0.0317771755245053,-0.118825296741069,0.430895966033109,-0.27576330740571,0.78468543726916
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_left,22,0,29,0.0970839392356132,0.0659489026575308,-0.73217277534496,0.414633675573613,-1.76583046307576,0.0879520104623686
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_left,22,0,29,0.116802288710331,0.086347195217584,-0.782127149921913,0.399375715846944,-1.95837432995464,0.0598670768896615
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_left,22,0,29,0.00107771135019655,-0.0333678848101415,-0.0805348783924437,0.455302077190428,-0.17688229952608,0.860830419607281
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_right,22,0,29,7.67186768882153e-07,-0.0344819649792047,-0.00213685149535746,0.453027560223592,-0.00471682450026398,0.996268830864947
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_right,22,0,29,0.00111449419579221,-0.0333298335905599,-0.075609072081827,0.420333360004546,-0.179878827797559,0.85849872742587
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_left,22,0,29,0.0554386846142387,0.0228676047733504,-0.510900808647997,0.391603180164641,-1.30463906966537,0.202274726879219
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_left,22,0,29,0.10376896904285,0.0728644507339831,-0.686454655777142,0.374618390253303,-1.83241045724687,0.0771776890423884
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_temp,22,0,29,0.00344880250415135,-0.0309150318922573,-0.119767470434705,0.37805546743661,-0.316798673080391,0.753665738660181
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,22,0,29,0.0262828761605876,-0.00729357638559924,-0.396760835619407,0.448445589173037,-0.884746879439845,0.38357024048669
