site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_left,22,0,29,0.000212035631177734,-0.034263411416023,-0.031381279971269,0.40014849060395,-0.0784240868281292,0.938029349874916
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_right,22,0,29,0.0163192405485359,-0.0176007856394456,-0.287381556198443,0.41432106047992,-0.693620439824036,0.493439018199662
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_ant,22,0,29,0.0149131620173388,-0.0190553496372357,-0.268378865572785,0.405043534377256,-0.662592642011707,0.512823567870879
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_right,22,0,29,0.0065431734327973,-0.0277139585177959,-0.17887916045838,0.409299328601222,-0.4370375125454,0.665321336969666
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_left,22,0,29,0.0125919189574776,-0.0214566355612302,-0.250565586271612,0.412026171286557,-0.60813026873807,0.547834725456022
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_left,22,0,29,0.0775273189881986,0.0457179161946882,-0.698740899490708,0.44757574118864,-1.56116794363126,0.129332020589052
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,22,0,29,0.0814814814814815,0.0498084291187739,-0.0313053572919073,0.0195179484154908,-1.60392663334745,0.119567293364697
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.hipcom,22,0,29,0.0976234316700984,0.066506998279412,-0.856557771748569,0.483586903492029,-1.77125924123106,0.0870280249873954
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_left,22,0,29,0.0846001356984033,0.0530346231362793,-0.925740258889473,0.565470618217376,-1.63711469538034,0.112414130574839
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_post,22,0,29,0.0601724409473645,0.0277645940834804,-0.556219491134779,0.408199508754696,-1.36261675775077,0.183492248565825
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_right,22,0,29,0.00884976994994603,-0.025327824189711,-0.210031069781461,0.412751155609966,-0.50885640640079,0.614702760497579
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,22,0,29,0.0555358392330375,0.022968109551418,-0.532372321227059,0.407682942205718,-1.30584889901629,0.201868247637379
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_right,22,0,29,0.0610217589785324,0.0286431989433092,-0.653907109858436,0.476323999154131,-1.37281999441486,0.180332015060167
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_left,22,0,29,0.0176584820199325,-0.0162153634276561,-0.355045632254936,0.491744760742253,-0.722012028595934,0.476069096163597
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_temp,22,0,29,0.00203710201357498,-0.0323754117100949,-0.121313984475281,0.498611943128731,-0.243303406882014,0.80948320134701
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,22,0,29,0.0790451331326718,0.0472880687579363,-1.06570469073928,0.675490871529563,-1.57767445224852,0.1254877846586
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_right,22,0,29,0.0814814814814814,0.0498084291187739,-0.0291401468637652,0.0181680048562749,-1.60392663334745,0.119567293364697
