site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_right,22,0,29,0.0171366879001984,-0.0167551504480707,-0.275369026972646,0.387256940043126,-0.711075770370907,0.482717818771242
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_ant,22,0,29,0.050728477723633,0.0179949769554824,0.581423614847825,0.467049572760431,1.244886300637,0.223139965427354
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_left,22,0,29,0.0394310677651812,0.00630800113639429,0.543017194438442,0.497690764649533,1.09107347977579,0.284223093366594
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_mid,22,0,29,0.0814814814814815,0.0498084291187739,0.0689030539193897,0.0429589810947815,1.60392663334745,0.119567293364697
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.hipcom,22,0,29,0.123833429937454,0.0936207895904693,1.15539089623805,0.570695345577623,2.02453183680451,0.0522114607749319
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofa_left,22,0,29,0.0482093453130719,0.0153889779100743,0.525916102566767,0.433932891828626,1.21197565907142,0.235304226339605
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fornix_right,22,0,29,0.0256855253958465,-0.00791152545257279,0.388022320081015,0.443775231899359,0.874366778921569,0.389102383721675
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfb_right,22,0,29,0.0198597301860095,-0.0139382101524039,-0.301849483106396,0.393775672655521,-0.766551882372015,0.449543399327274
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_left,22,0,29,0.0714397831500382,0.0394204653276257,0.98430820730438,0.658972179611306,1.49370221954586,0.146055141023633
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_right,22,0,29,0.0814814814814814,0.0498084291187739,0.048397182128405,0.0301741869747486,1.60392663334745,0.119567293364697
