site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_left,22,0,29,0.438103176997608,0.418727424480284,-1.57764008432149,0.331779096579614,-4.75509186861299,5.00882984340749e-05
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_left,22,0,29,0.247634920479646,0.22169129704791,-1.14038659166027,0.369114813429755,-3.08951727259056,0.00439290139862089
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfb_left,22,0,29,0.313699262497341,0.290033719824835,-1.24654512901085,0.342380869887251,-3.64081418865883,0.00105067724693991
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_left,22,0,29,0.0953056978099186,0.0641093425619848,1.23111339858951,0.704353300110933,1.74786346340056,0.09106958091577
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_left,22,0,29,0.237345588716583,0.211047160741293,-1.15104821684867,0.383149116595795,-3.0041781828326,0.00544214251213444
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.opticrad_left,22,0,29,0.1957910700452,0.168059727632966,-1.11551457548974,0.419821093904957,-2.65711892919387,0.0126817563832557
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofa_left,22,0,29,0.273567706114698,0.248518316670377,-1.14307403920388,0.345892001517924,-3.30471370886745,0.00253586644047325
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fimbria_right,22,0,29,0.00537987651515765,-0.0289173691222506,0.182022915308796,0.459588903190039,0.396055940527201,0.694962800069689
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.opticrad_right,22,0,29,0.0524593073929267,0.0197854904064758,-0.606887874741776,0.478957656850464,-1.26710131065146,0.215200612797873
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.atr_left,22,0,29,0.0217209846641536,-0.0120127744853584,0.372490356955452,0.464202686607946,0.802430420378086,0.428831313204205
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ant_comm,22,0,29,0.0843071743109566,0.052731559632024,0.868281514427115,0.531378765060262,1.63401620749494,0.113066588171283
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ifof_right,22,0,29,0.0266079650610105,-0.00695727752309261,0.426203731104107,0.478692156676134,0.890350353896568,0.380604997500913
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_left,22,0,29,0.128172973526082,0.0981099726131879,0.947065130338418,0.458667303214472,2.06481936624022,0.0479834589590485
Melbourne-P1,9d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.global_mean,22,0,29,0.0680356317883354,0.035898929436209,1.35340645676748,0.930166486965173,1.45501528568633,0.156404916528262
