site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fimbria_left,22,0,29,0.0793944461689059,0.0476494270712819,-0.479888730259994,0.303447305601053,-1.58145655407767,0.12462028235431
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_left,22,0,29,0.0758053936536183,0.0439366141244326,-0.666489876897757,0.432141743338863,-1.54229459933273,0.133844834290415
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfc_right,22,0,29,0.00185177050933025,-0.0325671339558653,0.0818181950191316,0.352740100319204,0.231950364999874,0.818205577952039
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfc_left,22,0,29,0.14945442818339,0.120125270534541,-0.768705602533064,0.340530054326553,-2.25737961382965,0.0316878998691663
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_ant,22,0,29,0.00665702886933227,-0.0275961770317252,-0.147204576867474,0.33391175305346,-0.440848743781432,0.662591577186691
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsub_right,22,0,29,0.0164118038201593,-0.0175050305308697,-0.21905890461342,0.314912868863268,-0.69561750653173,0.492205641408505
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cing_left,22,0,29,0.00276760624462794,-0.0316197176779711,-0.0886653884433501,0.312536799109669,-0.283695835805362,0.778659095887526
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypven_left,22,0,29,0.0165338555400271,-0.0173787701310066,-0.217663188196115,0.311730018162479,-0.698242631489743,0.490587030024259
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_left,22,0,29,0.167954077633946,0.139262838931669,-0.949003806986753,0.392235888466785,-2.41947214645841,0.0220423287881428
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.hipcom,22,0,29,0.0594686004720568,0.0270364832469553,-0.487249105798953,0.359827906708508,-1.35411705627843,0.186157671556986
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.opticrad_left,22,0,29,0.0799729098087931,0.0482478377332342,-0.592657254355252,0.373278919538652,-1.58770619859203,0.123197588407885
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_post,22,0,29,0.0225491379417269,-0.0111560641982136,-0.313884514270188,0.383754416212858,-0.817930689548297,0.420066755812498
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfa_left,22,0,29,0.106345525297842,0.0755298537563881,-0.58496932792814,0.314890314621091,-1.8576923479912,0.0733934446063449
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ant_comm,22,0,29,0.0342279674325257,0.000925483550888506,-0.332628108495401,0.328100358193552,-1.01379989441882,0.319062435002686
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalslat_right,22,0,29,0.0698336952107497,0.0377589950456031,-0.563578867157857,0.381947340903455,-1.47554075340536,0.150843093983151
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalslat_left,22,0,29,0.110967018784027,0.0803107090869247,-0.750520326636119,0.394480406475003,-1.90255413023581,0.0670709026056525
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_right,22,0,29,0.358726481704315,0.336613601763084,-1.62812239740808,0.404229482560357,-4.0277180850236,0.000371038401487802
Melbourne-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypdor_left,22,0,29,0.240511983321847,0.214322741367427,-1.57122413377819,0.518479089010961,-3.03044841552901,0.00509611798171004
